id,time,cur_frame,total_frames,rarm_pos_x,rarm_pos_y,rarm_pos_z,rarm_yaw,rarm_roll,rarm_pitch,rhand_pos_x,rhand_pos_y,rhand_pos_z,rhand_yaw,rhand_roll,rhand_pitch,rhand_vel_x,rhand_vel_y,rhand_vel_z,rfinger1_pos_x,rfinger1_pos_y,rfinger1_pos_z,rfinger1_yaw,rfinger1_roll,rfinger1_pitch,rfinger1_vel_x,rfinger1_vel_y,rfinger1_vel_z,rfinger2_pos_x,rfinger2_pos_y,rfinger2_pos_z,rfinger2_yaw,rfinger2_roll,rfinger2_pitch,rfinger2_vel_x,rfinger2_vel_y,rfinger2_vel_z,rfinger3_pos_x,rfinger3_pos_y,rfinger3_pos_z,rfinger3_yaw,rfinger3_roll,rfinger3_pitch,rfinger3_vel_x,rfinger3_vel_y,rfinger3_vel_z,rfinger4_pos_x,rfinger4_pos_y,rfinger4_pos_z,rfinger4_yaw,rfinger4_roll,rfinger4_pitch,rfinger4_vel_x,rfinger4_vel_y,rfinger4_vel_z,rfinger5_pos_x,rfinger5_pos_y,rfinger5_pos_z,rfinger5_yaw,rfinger5_roll,rfinger5_pitch,rfinger5_vel_x,rfinger5_vel_y,rfinger5_vel_z,larm_pos_x,larm_pos_y,larm_pos_z,larm_yaw,larm_roll,larm_pitch,lhand_pos_x,lhand_pos_y,lhand_pos_z,lhand_yaw,lhand_roll,lhand_pitch,lhand_vel_x,lhand_vel_y,lhand_vel_z,lfinger1_pos_x,lfinger1_pos_y,lfinger1_pos_z,lfinger1_yaw,lfinger1_roll,lfinger1_pitch,lfinger1_vel_x,lfinger1_vel_y,lfinger1_vel_z,lfinger2_pos_x,lfinger2_pos_y,lfinger2_pos_z,lfinger2_yaw,lfinger2_roll,lfinger2_pitch,lfinger2_vel_x,lfinger2_vel_y,lfinger2_vel_z,lfinger3_pos_x,lfinger3_pos_y,lfinger3_pos_z,lfinger3_yaw,lfinger3_roll,lfinger3_pitch,lfinger3_vel_x,lfinger3_vel_y,lfinger3_vel_z,lfinger4_pos_x,lfinger4_pos_y,lfinger4_pos_z,lfinger4_yaw,lfinger4_roll,lfinger4_pitch,lfinger4_vel_x,lfinger4_vel_y,lfinger4_vel_z,lfinger5_pos_x,lfinger5_pos_y,lfinger5_pos_z,lfinger5_yaw,lfinger5_roll,lfinger5_pitch,lfinger5_vel_x,lfinger5_vel_y,lfinger5_vel_z,sign
0,5839187,0,20,23.198181,-83.75415,225.77176,-0.052522056,0.7003995,-0.71181595,1.6299889,139.55934,9.618494,-0.00892029,0.84062076,-0.5415507,-13.118888,130.3493,-132.40094,-35.772022,1.0776215,-47.038345,-0.060370315,0.5493555,-0.833405,359.49078,-12.176691,-346.43228,-19.810131,-27.109993,-36.227165,0.20798028,-0.97074324,0.120007135,38.76606,30.721327,32.443733,-12.6904,-33.517258,-33.192627,-0.08189903,-0.97275406,0.21689196,31.74746,23.853539,116.2542,1.6955969,-34.162933,-35.09876,-0.23052695,-0.9695889,0.082187116,13.849624,-16.70034,71.47478,12.682769,-26.127853,-27.879665,-0.5500344,-0.8316303,0.07650613,-20.795998,-38.102615,95.021935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a
1,65754827,1,20,45.85933,-72.44846,225.09352,-0.1578922,0.65113,-0.7423609,-0.09812837,141.96048,6.214123,0.053254873,0.89500225,-0.4428712,-22.34789,-35.855995,-16.412283,-35.268234,5.7800293,-44.218388,0.050613277,0.59350336,-0.8032385,29.012295,20.559402,12.941086,-23.788702,-20.351158,-38.405533,0.0899971,-0.9959218,0.006352206,-50.75511,65.86523,-48.21569,-16.19232,-31.989655,-30.204458,-0.12908147,-0.9589188,0.25261176,-42.572666,5.7017846,-7.3312974,-1.377354,-34.265404,-27.924557,-0.25462633,-0.9412192,0.22197258,-43.55386,-14.783253,4.0551367,9.011543,-25.851532,-25.096857,-0.5734807,-0.7893216,0.21929722,-49.02507,-21.803041,5.5053062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a
2,115713504,2,20,58.999676,-59.12346,233.97858,-0.21503043,0.5838642,-0.78285664,-1.3272786,139.3448,7.3310704,0.06264474,0.9189124,-0.38945562,-21.663013,-50.415157,17.692902,-35.50023,8.4422455,-43.902058,0.041172363,0.637715,-0.76917124,-20.51568,-14.040507,25.896751,-24.29951,-17.602959,-39.48978,0.0703857,-0.9961748,-0.05178461,-44.2833,1.4534975,6.175449,-16.776827,-29.488144,-32.981323,-0.14624612,-0.9756089,0.16370519,-45.691605,2.2500205,-35.217293,-1.9473474,-32.235405,-30.71114,-0.2715406,-0.9523757,0.13873053,-44.194378,-12.982245,-29.499418,8.633085,-24.393631,-26.813059,-0.58504474,-0.7955315,0.15764602,-37.771732,-29.905718,-10.319864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a
3,166295395,3,20,66.58258,-52.674614,237.76894,-0.24975052,0.54947346,-0.79731023,-2.1131659,137.45369,8.465403,0.07656986,0.92545897,-0.37102938,-11.339852,-52.212368,27.237558,-35.725456,9.201324,-45.237595,0.014829503,0.64007884,-0.76816607,-7.5852065,-26.296648,-14.621395,-25.559689,-16.074776,-39.384003,0.04164912,-0.99641263,-0.07366932,-38.1312,-4.1203566,23.051592,-18.543259,-26.537804,-36.70874,-0.1882833,-0.9806057,0.054422807,-52.944946,37.140827,-85.7646,-3.5617633,-30.086952,-34.261787,-0.31218335,-0.94908696,0.04213624,-48.44223,13.156449,-69.847275,7.631037,-23.543594,-28.65051,-0.6120732,-0.7845003,0.09962773,-33.282104,-24.069065,-24.70757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a
4,216392513,4,20,69.17362,-47.569588,241.26018,-0.25759584,0.5281987,-0.80910474,-2.3843496,137.0021,8.981707,0.06138296,0.9263842,-0.37154338,-11.246147,0.54316443,3.6335006,-37.633835,8.429825,-46.38623,-0.061803833,0.6421822,-0.7640565,-40.72691,-23.288929,-24.742144,-26.018814,-16.255348,-39.034946,0.048320163,-0.996057,-0.074401736,-17.14768,-7.735591,10.115515,-19.367249,-24.037308,-40.880196,-0.20072566,-0.9786575,-0.044031177,-22.807926,38.681683,-65.57447,-4.1959476,-27.254486,-39.131996,-0.3330277,-0.94003063,-0.07372239,-19.665636,45.205605,-76.92056,7.820072,-21.766388,-32.22716,-0.6271704,-0.7787269,-0.015549273,-3.4662392,36.881462,-75.24501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a
5,266447679,5,20,70.00402,-44.945396,238.35268,-0.26434168,0.5407197,-0.7985898,-2.299817,141.1053,5.1964073,0.08756116,0.8823267,-0.46242034,-14.679666,76.96514,-76.504074,-47.02357,3.8041077,-49.394154,-0.14714366,0.503442,-0.8514076,-171.03362,11.292747,-98.267944,-32.91189,-17.43106,-35.8692,-0.053241853,-0.99662536,-0.062475085,-113.74841,53.75313,-37.96608,-27.598492,-25.493446,-37.813877,-0.30461168,-0.95218825,0.023436401,-131.90913,48.50478,-31.044382,-12.841974,-30.70913,-35.634804,-0.43684465,-0.8969245,0.068507336,-141.29599,28.097101,-35.36578,1.6628419,-26.551834,-32.343254,-0.6312069,-0.77146846,0.08008894,-97.62853,8.763023,-92.76798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a
6,317183393,6,20,72.175064,-38.126534,237.6661,-0.2769229,0.51268715,-0.8126903,-3.307737,141.56677,2.5352426,0.088163406,0.90068173,-0.42544058,-21.49781,41.136776,-59.60272,-46.655373,5.4453735,-51.035084,-0.14843892,0.542025,-0.82714856,-34.59794,35.136395,-82.89444,-31.598597,-17.171722,-37.330643,-0.03219936,-0.9955015,-0.089106485,-9.935522,10.770016,-54.48727,-26.07537,-26.278,-37.605484,-0.26775026,-0.9620957,0.05178545,-4.8954277,-13.59854,-1.690935,-12.0302925,-30.693108,-35.994865,-0.42364663,-0.9034938,0.0649805,-21.434519,2.4370122,-18.398596,3.0031626,-26.076164,-33.2614,-0.60241646,-0.7969287,0.044710677,-10.189613,17.238247,-51.296658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a
7,367501921,7,20,72.41202,-35.3576,236.5942,-0.28054404,0.5075288,-0.81468374,-4.849169,142.48724,0.12174167,0.07150049,0.8952037,-0.43988413,-24.70193,12.523417,-38.286076,-48.181778,5.295822,-50.916023,-0.18992488,0.5534028,-0.81097096,-52.28898,11.099184,-23.449322,-30.144114,-20.457207,-34.981274,0.011701012,-0.9998963,0.008394475,5.811583,-54.942486,20.252405,-24.501408,-29.44593,-34.149097,-0.21816143,-0.9651193,0.1447423,7.5607557,-47.09584,32.274704,-11.011921,-33.085007,-32.64446,-0.3848139,-0.91018206,0.15325412,-1.1206777,-34.166023,33.532448,4.0477448,-27.605598,-31.439499,-0.56569844,-0.81714076,0.11075316,-4.1452913,-15.875101,8.660095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a
8,417584589,8,20,70.80359,-38.371548,235.90753,-0.27276114,0.53018725,-0.80280936,-5.9495316,143.49329,-0.36898467,0.04135028,0.8683237,-0.49427134,-18.19679,17.29271,-3.315298,-48.076256,1.8768158,-50.90249,-0.21401942,0.51863486,-0.82777625,-13.583084,-41.913483,8.890674,-28.239273,-24.845276,-31.901676,0.06414466,-0.9901058,0.12480349,14.69191,-63.43565,62.437798,-22.46004,-33.16671,-30.830467,-0.16936246,-0.9570383,0.23535937,16.48699,-50.71278,64.51391,-9.123702,-36.04236,-28.857018,-0.34109825,-0.9082819,0.24223116,13.954846,-34.98988,67.25456,5.692763,-29.655151,-28.676264,-0.52742285,-0.8288935,0.18644248,9.33046,-20.954386,54.48731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a
9,468274156,9,20,72.577156,-46.88878,231.9837,-0.27656898,0.57105285,-0.77292186,-6.597705,143.6248,0.8853026,0.012571582,0.8390767,-0.5438678,-10.574802,4.0635533,13.973698,-48.118614,1.3423157,-48.140823,-0.23428312,0.51559573,-0.8241799,-3.039919,1.1066542,63.635193,-26.877907,-27.76725,-30.391176,0.102442555,-0.9772484,0.18571796,13.444333,-42.36978,39.900387,-20.87696,-35.575417,-29.137094,-0.13851546,-0.9498133,0.2804784,16.326448,-32.018826,38.30089,-7.5398817,-37.237434,-27.943596,-0.32367656,-0.9115712,0.25351816,16.322111,-8.982423,16.752975,7.121317,-30.336128,-27.579176,-0.5198578,-0.8301081,0.20166399,12.235344,2.2541833,21.451256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a
