id,time,cur_frame,total_frames,rarm_pos_x,rarm_pos_y,rarm_pos_z,rarm_yaw,rarm_roll,rarm_pitch,rhand_pos_x,rhand_pos_y,rhand_pos_z,rhand_yaw,rhand_roll,rhand_pitch,rhand_vel_x,rhand_vel_y,rhand_vel_z,rfinger1_pos_x,rfinger1_pos_y,rfinger1_pos_z,rfinger1_yaw,rfinger1_roll,rfinger1_pitch,rfinger1_vel_x,rfinger1_vel_y,rfinger1_vel_z,rfinger2_pos_x,rfinger2_pos_y,rfinger2_pos_z,rfinger2_yaw,rfinger2_roll,rfinger2_pitch,rfinger2_vel_x,rfinger2_vel_y,rfinger2_vel_z,rfinger3_pos_x,rfinger3_pos_y,rfinger3_pos_z,rfinger3_yaw,rfinger3_roll,rfinger3_pitch,rfinger3_vel_x,rfinger3_vel_y,rfinger3_vel_z,rfinger4_pos_x,rfinger4_pos_y,rfinger4_pos_z,rfinger4_yaw,rfinger4_roll,rfinger4_pitch,rfinger4_vel_x,rfinger4_vel_y,rfinger4_vel_z,rfinger5_pos_x,rfinger5_pos_y,rfinger5_pos_z,rfinger5_yaw,rfinger5_roll,rfinger5_pitch,rfinger5_vel_x,rfinger5_vel_y,rfinger5_vel_z,larm_pos_x,larm_pos_y,larm_pos_z,larm_yaw,larm_roll,larm_pitch,lhand_pos_x,lhand_pos_y,lhand_pos_z,lhand_yaw,lhand_roll,lhand_pitch,lhand_vel_x,lhand_vel_y,lhand_vel_z,lfinger1_pos_x,lfinger1_pos_y,lfinger1_pos_z,lfinger1_yaw,lfinger1_roll,lfinger1_pitch,lfinger1_vel_x,lfinger1_vel_y,lfinger1_vel_z,lfinger2_pos_x,lfinger2_pos_y,lfinger2_pos_z,lfinger2_yaw,lfinger2_roll,lfinger2_pitch,lfinger2_vel_x,lfinger2_vel_y,lfinger2_vel_z,lfinger3_pos_x,lfinger3_pos_y,lfinger3_pos_z,lfinger3_yaw,lfinger3_roll,lfinger3_pitch,lfinger3_vel_x,lfinger3_vel_y,lfinger3_vel_z,lfinger4_pos_x,lfinger4_pos_y,lfinger4_pos_z,lfinger4_yaw,lfinger4_roll,lfinger4_pitch,lfinger4_vel_x,lfinger4_vel_y,lfinger4_vel_z,lfinger5_pos_x,lfinger5_pos_y,lfinger5_pos_z,lfinger5_yaw,lfinger5_roll,lfinger5_pitch,lfinger5_vel_x,lfinger5_vel_y,lfinger5_vel_z,sign
0  ,2036979,0,53,203.84995,3.8121648,170.01355,-0.6984284,0.49741343,-0.5145655,21.006342,130.33568,-5.3933735,-0.08182223,0.16862388,-0.9822785,1.0519521,0.13819104,2.1207838,-70.83774,-43.8964,-13.052269,-0.66367567,-0.2902303,-0.68942076,1.1386166,0.5621974,-1.4211019,-46.61649,22.10878,-87.97891,-0.2946729,0.22204547,-0.9294427,3.7409658,3.1648338,1.5996515,-0.39592743,21.17392,-103.433075,0.05370422,0.13479617,-0.9894169,4.8820596,5.475476,3.254131,5.7645016,-45.46849,0.0469265,-0.15939012,-0.6185519,0.7694078,2.5773656,-0.47763777,-3.3408403,15.738764,-34.423225,-0.023224354,-0.4498704,-0.5371354,0.7135139,2.1900823,0.18080258,-1.2154133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
1  ,51075963,1,53,204.0809,4.270583,170.28798,-0.6994806,0.49516723,-0.5153021,21.035038,130.3349,-5.3052635,-0.08078719,0.1707078,-0.9820042,0.62796503,-0.011511611,1.8559334,-70.81866,-43.915726,-13.213762,-0.6630266,-0.2890172,-0.690554,0.9002675,-0.31450754,-1.4132679,-46.50024,22.23465,-88.00264,-0.29329112,0.22378848,-0.9294617,3.1190479,2.7557523,1.3842185,-0.25343895,21.390778,-103.38699,0.055392366,0.1371017,-0.989007,3.8468935,4.7537904,2.8720393,5.8292885,-45.499504,-0.1981411,-0.15982999,-0.6227334,0.76593566,2.0487893,-0.6047076,-3.524439,15.792847,-34.429176,-0.18316412,-0.45100138,-0.5411017,0.70979345,1.769694,-0.046164047,-1.5787694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
2  ,101924922,2,53,204.68051,5.1422634,170.57358,-0.7019226,0.49099842,-0.5159702,21.08446,130.3174,-5.1839285,-0.07990318,0.17373608,-0.9815453,0.6264964,-0.2095627,1.5340139,-70.84631,-43.921646,-13.365973,-0.6632653,-0.2870307,-0.69115305,-0.22970746,-0.07531773,0.09262774,-46.35647,22.407364,-88.02003,-0.29133737,0.22608477,-0.9295204,2.753408,2.066726,1.2647038,-0.11166,21.671997,-103.3242,0.057154905,0.13971666,-0.98854065,2.6977515,3.4310179,2.3744476,5.917921,-45.52497,-0.49237442,-0.15973496,-0.627563,0.76200354,1.8159293,-0.37285942,-1.945323,15.868494,-34.438477,-0.41996336,-0.4520105,-0.5467125,0.7048347,1.6574966,-0.2103436,-1.5446488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
3  ,152673197,3,53,205.25447,5.827169,170.65488,-0.70417404,0.48774773,-0.51598555,21.108082,130.29335,-5.099387,-0.07991586,0.17575105,-0.9811855,0.49862316,-0.43260252,1.6604655,-70.90489,-43.917435,-13.393626,-0.6641594,-0.2857381,-0.69082993,-0.96713406,-0.38766602,1.4118679,-46.296875,22.523804,-88.00842,-0.2902939,0.22771697,-0.9294485,2.0822506,2.07623,1.7837225,-0.077812195,21.850433,-103.28282,0.05774023,0.14123352,-0.988291,1.6012201,2.9743447,2.4778712,5.9734917,-45.53453,-0.65968895,-0.15922166,-0.630245,0.7598946,1.6401206,-0.5304988,-1.6288483,15.911945,-34.432884,-0.545454,-0.45199144,-0.5495052,0.7026719,1.3817039,-0.25309092,-0.84988976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
4  ,203688563,4,53,205.74323,6.3795547,170.67911,-0.7060939,0.48512432,-0.51583505,21.124445,130.27164,-5.031799,-0.07998495,0.17733815,-0.98089427,0.34031802,-0.45349407,1.4111017,-70.92943,-43.927902,-13.427984,-0.6645342,-0.28491217,-0.6908106,-0.40558407,-0.80669624,1.0521121,-46.25604,22.62381,-87.993744,-0.28958127,0.2291541,-0.92931753,1.4159614,1.8644626,1.7087235,-0.027685165,21.97345,-103.25134,0.05863455,0.1422045,-0.9880991,1.7234753,2.0045502,2.0763924,6.017704,-45.5372,-0.7740855,-0.15873472,-0.63205016,0.7584958,1.2807934,-0.4208463,-0.86334574,15.947672,-34.431885,-0.663033,-0.45214123,-0.55198175,0.7006315,1.0909874,-0.35005376,-1.0090301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
5  ,253503650,5,53,206.24329,6.7403865,170.52754,-0.70811194,0.48325568,-0.51482177,21.134602,130.22139,-4.93085,-0.07995522,0.17851362,-0.98068345,0.20433229,-1.1188194,2.2428408,-70.94838,-43.98352,-13.439998,-0.6649701,-0.28480497,-0.6904353,-0.41570926,-2.6156383,2.2408686,-46.199276,22.635986,-88.00792,-0.28867155,0.22926214,-0.9295739,1.4936733,-0.20963746,2.0713155,0.05708313,22.055542,-103.22727,0.06008686,0.14297175,-0.98790115,2.6150663,0.6135096,2.7969394,6.0802536,-45.5366,-0.86585426,-0.15809216,-0.6335871,0.7573468,1.5308468,-1.0249149,0.34883088,15.995007,-34.420403,-0.7509875,-0.45213038,-0.55405766,0.69899803,1.1758472,-0.7759897,0.4560361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
6  ,304709197,6,53,207.1611,7.490627,170.18816,-0.71191835,0.47985515,-0.5127488,21.14467,130.14563,-4.7649064,-0.07955662,0.17907138,-0.9806142,0.0059857354,-1.4303477,3.3704417,-70.96387,-44.12654,-13.4274235,-0.66552573,-0.28583816,-0.68947226,-0.8586711,-4.794705,4.281749,-46.09654,22.596725,-88.0551,-0.2870905,0.2296827,-0.9299596,2.30445,-2.1122901,2.3814962,0.25703812,22.01918,-103.217865,0.063250445,0.14176588,-0.9878774,5.115697,-2.1658278,3.6478584,6.1956635,-45.54522,-0.9862776,-0.15707019,-0.6358315,0.75567675,2.3839407,-1.4851279,1.1507183,16.078043,-34.39145,-0.8051858,-0.45185477,-0.55613863,0.6975221,1.6672426,-0.7619514,2.4096277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
7  ,354699548,7,53,208.26065,8.330939,169.8946,-0.71735454,0.47518456,-0.5095116,21.032192,129.93796,-4.2788715,-0.07738945,0.18174969,-0.9802948,-2.033876,-3.3589811,8.459268,-70.86162,-44.40245,-13.644409,-0.6641191,-0.28696555,-0.6903598,-0.8065832,-9.155957,5.5928574,-45.849197,22.661118,-88.15127,-0.28399047,0.23159279,-0.9304376,2.7215793,-1.7041028,6.820477,0.6660595,22.254776,-103.1488,0.06872489,0.14387739,-0.9872063,6.5934315,0.94823486,9.837864,6.406727,-45.52632,-1.1591349,-0.15648928,-0.63945806,0.7527314,1.9914912,-2.9434588,5.2490935,16.236313,-34.325867,-0.90586424,-0.45195013,-0.56083554,0.6936891,0.94322,-2.0415642,6.5840034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
8  ,406282658,8,53,208.95267,8.853529,169.52722,-0.7209939,0.4725244,-0.5068417,20.890598,129.88284,-3.994608,-0.0764178,0.18376136,-0.97999597,-2.6357458,-1.3984044,6.051274,-70.80853,-44.59897,-13.742151,-0.6636358,-0.28772455,-0.6905086,-1.9297895,-5.784629,4.749891,-45.672615,22.68666,-88.213745,-0.28144976,0.23244175,-0.9309978,1.5522751,-1.1835939,4.489086,0.86307716,22.46054,-103.09514,0.07135286,0.14611809,-0.9866906,2.3103063,2.7302153,7.1861243,6.5611134,-45.506424,-1.2708659,-0.15555425,-0.64185375,0.75088394,0.57551444,-0.93769866,3.9227,16.352654,-34.279373,-1.0055594,-0.4517744,-0.5644852,0.69083744,-0.25510377,-0.34162048,4.288351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
9  ,456637987,9,53,209.49887,9.2343445,169.16586,-0.7237176,0.47079548,-0.5045637,20.809801,129.86462,-3.8014498,-0.07571302,0.18457547,-0.9798977,-1.9232577,-0.558599,4.403241,-70.80323,-44.711464,-13.758697,-0.6636722,-0.28832635,-0.6902225,-1.9300135,-3.3815303,4.298821,-45.499855,22.626205,-88.293335,-0.27890643,0.2316828,-0.9319519,2.2995484,-1.7183187,2.5677705,1.0036259,22.516281,-103.07551,0.07308576,0.14660315,-0.98649174,1.3948205,1.0777485,4.9436126,6.656931,-45.49594,-1.3253398,-0.15500128,-0.6430414,0.7499816,0.26709542,-0.2467313,3.2667046,16.422842,-34.25054,-1.049355,-0.45176828,-0.566313,0.68934387,-0.3495628,0.17392491,3.4733324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
