2016-10-14 12:02:46,718 [main] INFO  marytts.main Mary starting up...
2016-10-14 12:02:46,719 [main] INFO  marytts.main Specification version 5.2
2016-10-14 12:02:46,719 [main] INFO  marytts.main Implementation version unknown
2016-10-14 12:02:46,719 [main] INFO  marytts.main Running on a Java 1.8.0_101 implementation by Oracle Corporation, on a Windows 10 platform (amd64, 10.0)
2016-10-14 12:02:47,651 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.language.de.JTokeniser'
2016-10-14 12:02:47,681 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.language.de.Preprocess'
2016-10-14 12:02:47,682 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.OpenNLPPosTagger(de,de.pos)'
2016-10-14 12:02:47,684 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.language.de.JPhonemiser'
2016-10-14 12:02:47,836 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.language.de.Prosody'
2016-10-14 12:02:47,841 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.language.de.Postlex'
2016-10-14 12:02:47,843 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.SimplePhoneme2AP(de)'
2016-10-14 12:02:47,844 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.language.en.JTokeniser'
2016-10-14 12:02:47,844 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.language.en.Preprocess'
2016-10-14 12:02:48,620 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.JPhonemiser(en_US.)'
2016-10-14 12:02:48,836 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.JPhonemiser(en_GB.)'
2016-10-14 12:02:49,041 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.language.en.Prosody'
2016-10-14 12:02:49,042 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.SimplePhoneme2AP(en_US)'
2016-10-14 12:02:49,042 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.language.en.PronunciationModel'
2016-10-14 12:02:49,043 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.OpenNLPPosTagger(en,en.pos)'
2016-10-14 12:02:49,044 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.language.fr.Phonemiser'
2016-10-14 12:02:49,160 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.language.fr.Preprocess'
2016-10-14 12:02:49,228 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.MinimalisticPosTagger(fr,fr.)'
2016-10-14 12:02:49,229 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.language.it.JTokeniser'
2016-10-14 12:02:49,230 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.language.it.Preprocess'
2016-10-14 12:02:49,232 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.JPhonemiser(it.)'
2016-10-14 12:02:49,377 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.OpenNLPPosTagger(it,it.pos)'
2016-10-14 12:02:49,377 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.language.it.Prosody'
2016-10-14 12:02:49,378 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.language.it.Postlex'
2016-10-14 12:02:49,379 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.language.lb.LuxembourgishPreprocess'
2016-10-14 12:02:51,890 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.language.lb.EvenMoreMinimalisticPosTagger(lb)'
2016-10-14 12:02:51,919 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.language.lb.LuxembourgishPhonemiser'
2016-10-14 12:02:51,939 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.language.ru.Tokenizer'
2016-10-14 12:02:51,940 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.DummyTokens2Words'
2016-10-14 12:02:51,950 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.JPhonemiser(ru.)'
2016-10-14 12:02:52,383 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.ProsodyGeneric'
2016-10-14 12:02:52,383 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.MinimalisticPosTagger(ru,ru)'
2016-10-14 12:02:52,383 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.JPhonemiser(sv.)'
2016-10-14 12:02:52,412 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.MinimalisticPosTagger(sv,sv.)'
2016-10-14 12:02:52,413 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.language.te.JTokeniser'
2016-10-14 12:02:52,413 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.DummyTokens2Words'
2016-10-14 12:02:52,414 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.language.te.JPhonemiser(te.)'
2016-10-14 12:02:52,416 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.ProsodyGeneric'
2016-10-14 12:02:52,416 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.MinimalisticPosTagger(te,te)'
2016-10-14 12:02:52,417 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.JPhonemiser(tr.)'
2016-10-14 12:02:52,420 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.MinimalisticPosTagger(tr,tr.)'
2016-10-14 12:02:52,421 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.Synthesis'
2016-10-14 12:02:52,422 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.TextToMaryXML'
2016-10-14 12:02:52,423 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.SableParser'
2016-10-14 12:02:52,423 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.SSMLParser'
2016-10-14 12:02:52,424 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.APMLParser'
2016-10-14 12:02:52,424 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.EmotionmlParser'
2016-10-14 12:02:52,425 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.JTokeniser'
2016-10-14 12:02:52,425 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.DummyTokens2Words'
2016-10-14 12:02:52,425 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.ProsodyGeneric'
2016-10-14 12:02:52,425 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.PronunciationModel'
2016-10-14 12:02:52,425 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.TargetFeatureLister'
2016-10-14 12:02:52,426 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.HalfPhoneTargetFeatureLister'
2016-10-14 12:02:52,427 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.AcousticModeller'
2016-10-14 12:02:52,428 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.RealisedAcoustparamsExtractor'
2016-10-14 12:02:52,429 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.RealisedDurationsExtractor'
2016-10-14 12:02:52,429 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.HTSEngine'
2016-10-14 12:02:52,431 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.PraatTextGridGenerator'
2016-10-14 12:02:52,461 [main] INFO  marytts.JTokeniser Module started (RAWMARYXML->TOKENS, locale de).
2016-10-14 12:02:52,527 [main] INFO  marytts.JTokeniser Starting power-on self test.
2016-10-14 12:02:52,621 [main] INFO  marytts.JTokeniser Power-on self test complete.
2016-10-14 12:02:52,621 [main] INFO  marytts.Preprocess Module started (TOKENS->WORDS, locale de).
2016-10-14 12:02:52,621 [main] INFO  marytts.Preprocess Starting power-on self test.
2016-10-14 12:02:52,622 [main] INFO  marytts.Preprocess Expanding say-as elements...
2016-10-14 12:02:52,622 [main] INFO  marytts.Preprocess Matching and expanding patterns...
2016-10-14 12:02:52,659 [main] INFO  marytts.Preprocess Done.
2016-10-14 12:02:52,660 [main] INFO  marytts.Preprocess Power-on self test complete.
2016-10-14 12:02:52,660 [main] INFO  marytts.OpenNLPPosTagger Module started (WORDS->PARTSOFSPEECH, locale de).
2016-10-14 12:02:53,443 [main] INFO  marytts.OpenNLPPosTagger Starting power-on self test.
2016-10-14 12:02:53,444 [main] INFO  marytts.OpenNLPPosTagger Power-on self test complete.
2016-10-14 12:02:53,444 [main] INFO  marytts.JPhonemiser_de Module started (PARTSOFSPEECH->PHONEMES, locale de).
2016-10-14 12:02:53,464 [main] INFO  marytts.JPhonemiser_de Starting power-on self test.
2016-10-14 12:02:53,464 [main] INFO  marytts.JPhonemiser_de Power-on self test complete.
2016-10-14 12:02:53,491 [main] INFO  marytts.Prosody Module started (PHONEMES->INTONATION, locale de).
2016-10-14 12:02:53,491 [main] INFO  marytts.Prosody Starting power-on self test.
2016-10-14 12:02:53,491 [main] INFO  marytts.Prosody Power-on self test complete.
2016-10-14 12:02:53,491 [main] INFO  marytts.PronunciationModel Module started (INTONATION->ALLOPHONES, locale de).
2016-10-14 12:02:53,491 [main] INFO  marytts.PronunciationModel Starting power-on self test.
2016-10-14 12:02:53,492 [main] INFO  marytts.PronunciationModel Power-on self test complete.
2016-10-14 12:02:53,492 [main] INFO  marytts.SimplePhoneme2AP Module started (SIMPLEPHONEMES->ACOUSTPARAMS, locale de).
2016-10-14 12:02:53,493 [main] INFO  marytts.SimplePhoneme2AP Starting power-on self test.
2016-10-14 12:02:53,495 [main] INFO  marytts.SimplePhoneme2AP Power-on self test complete.
2016-10-14 12:02:53,495 [main] INFO  marytts.JTokeniser Module started (RAWMARYXML->TOKENS, locale en).
2016-10-14 12:02:53,529 [main] INFO  marytts.JTokeniser Starting power-on self test.
2016-10-14 12:02:53,529 [main] INFO  marytts.JTokeniser Power-on self test complete.
2016-10-14 12:02:53,530 [main] INFO  marytts.Preprocess Module started (TOKENS->WORDS, locale en).
2016-10-14 12:02:53,530 [main] INFO  marytts.Preprocess Starting power-on self test.
2016-10-14 12:02:53,530 [main] INFO  marytts.Preprocess Power-on self test complete.
2016-10-14 12:02:53,530 [main] INFO  marytts.JPhonemiser Module started (PARTSOFSPEECH->PHONEMES, locale en_US).
2016-10-14 12:02:53,530 [main] INFO  marytts.JPhonemiser Starting power-on self test.
2016-10-14 12:02:53,530 [main] INFO  marytts.JPhonemiser Power-on self test complete.
2016-10-14 12:02:53,530 [main] INFO  marytts.JPhonemiser Module started (PARTSOFSPEECH->PHONEMES, locale en_GB).
2016-10-14 12:02:53,531 [main] INFO  marytts.JPhonemiser Starting power-on self test.
2016-10-14 12:02:53,531 [main] INFO  marytts.JPhonemiser Power-on self test complete.
2016-10-14 12:02:53,537 [main] INFO  marytts.Prosody Module started (PHONEMES->INTONATION, locale en).
2016-10-14 12:02:53,537 [main] INFO  marytts.Prosody Starting power-on self test.
2016-10-14 12:02:53,537 [main] INFO  marytts.Prosody Power-on self test complete.
2016-10-14 12:02:53,538 [main] INFO  marytts.SimplePhoneme2AP Module started (SIMPLEPHONEMES->ACOUSTPARAMS, locale en_US).
2016-10-14 12:02:53,538 [main] INFO  marytts.SimplePhoneme2AP Starting power-on self test.
2016-10-14 12:02:53,540 [main] INFO  marytts.SimplePhoneme2AP Power-on self test complete.
2016-10-14 12:02:53,540 [main] INFO  marytts.PronunciationModel Module started (INTONATION->ALLOPHONES, locale en).
2016-10-14 12:02:53,540 [main] INFO  marytts.PronunciationModel Starting power-on self test.
2016-10-14 12:02:53,540 [main] INFO  marytts.PronunciationModel Power-on self test complete.
2016-10-14 12:02:53,540 [main] INFO  marytts.OpenNLPPosTagger Module started (WORDS->PARTSOFSPEECH, locale en).
2016-10-14 12:02:54,830 [main] INFO  marytts.OpenNLPPosTagger Starting power-on self test.
2016-10-14 12:02:54,830 [main] INFO  marytts.OpenNLPPosTagger Power-on self test complete.
2016-10-14 12:02:54,830 [main] INFO  marytts.JPhonemiser Module started (PARTSOFSPEECH->PHONEMES, locale fr).
2016-10-14 12:02:54,830 [main] INFO  marytts.JPhonemiser Starting power-on self test.
2016-10-14 12:02:54,831 [main] INFO  marytts.JPhonemiser Power-on self test complete.
2016-10-14 12:02:54,831 [main] INFO  marytts.Preprocess Module started (TOKENS->WORDS, locale fr).
2016-10-14 12:02:54,831 [main] INFO  marytts.Preprocess Starting power-on self test.
2016-10-14 12:02:54,833 [main] INFO  marytts.Preprocess Power-on self test complete.
2016-10-14 12:02:54,833 [main] INFO  marytts.OpenNLPPosTagger Module started (WORDS->PARTSOFSPEECH, locale fr).
2016-10-14 12:02:54,834 [main] INFO  marytts.OpenNLPPosTagger Starting power-on self test.
2016-10-14 12:02:54,834 [main] INFO  marytts.OpenNLPPosTagger Power-on self test complete.
2016-10-14 12:02:54,834 [main] INFO  marytts.JTokeniser Module started (RAWMARYXML->TOKENS, locale it).
2016-10-14 12:02:54,855 [main] INFO  marytts.JTokeniser Starting power-on self test.
2016-10-14 12:02:54,858 [main] INFO  marytts.JTokeniser Power-on self test complete.
2016-10-14 12:02:54,858 [main] INFO  marytts.Preprocess Module started (TOKENS->WORDS, locale it).
2016-10-14 12:02:54,858 [main] INFO  marytts.Preprocess Starting power-on self test.
2016-10-14 12:02:54,861 [main] INFO  marytts.Preprocess Expanding say-as elements...
2016-10-14 12:02:54,861 [main] INFO  marytts.Preprocess Matching and expanding patterns...
2016-10-14 12:02:54,869 [main] INFO  marytts.Preprocess Done.
2016-10-14 12:02:54,870 [main] INFO  marytts.Preprocess Power-on self test complete.
2016-10-14 12:02:54,870 [main] INFO  marytts.JPhonemiser Module started (PARTSOFSPEECH->PHONEMES, locale it).
2016-10-14 12:02:54,870 [main] INFO  marytts.JPhonemiser Starting power-on self test.
2016-10-14 12:02:54,870 [main] INFO  marytts.JPhonemiser Power-on self test complete.
2016-10-14 12:02:54,870 [main] INFO  marytts.OpenNLPPosTagger Module started (WORDS->PARTSOFSPEECH, locale it).
2016-10-14 12:02:55,023 [main] INFO  marytts.OpenNLPPosTagger Starting power-on self test.
2016-10-14 12:02:55,023 [main] INFO  marytts.OpenNLPPosTagger Power-on self test complete.
2016-10-14 12:02:55,062 [main] INFO  marytts.Prosody Module started (PHONEMES->INTONATION, locale it).
2016-10-14 12:02:55,062 [main] INFO  marytts.Prosody Starting power-on self test.
2016-10-14 12:02:55,062 [main] INFO  marytts.Prosody Power-on self test complete.
2016-10-14 12:02:55,062 [main] INFO  marytts.PronunciationModel Module started (INTONATION->ALLOPHONES, locale it).
2016-10-14 12:02:55,062 [main] INFO  marytts.PronunciationModel Starting power-on self test.
2016-10-14 12:02:55,062 [main] INFO  marytts.PronunciationModel Power-on self test complete.
2016-10-14 12:02:55,062 [main] INFO  marytts.LuxembourgishPreprocess Module started (TOKENS->WORDS, locale lb).
2016-10-14 12:02:55,063 [main] INFO  marytts.LuxembourgishPreprocess Starting power-on self test.
2016-10-14 12:03:05,259 [main] INFO  marytts.LuxembourgishPreprocess Power-on self test complete.
2016-10-14 12:03:05,267 [main] INFO  marytts.language.lb.EvenMoreMinimalisticPosTagger Module started (WORDS -> PARTSOFSPEECH, locale lb).
2016-10-14 12:03:05,301 [main] INFO  marytts.OpenNLPPosTagger Starting power-on self test.
2016-10-14 12:03:05,301 [main] INFO  marytts.OpenNLPPosTagger Power-on self test complete.
2016-10-14 12:03:05,301 [main] INFO  marytts.JPhonemiser Module started (PARTSOFSPEECH->PHONEMES, locale lb).
2016-10-14 12:03:05,301 [main] INFO  marytts.JPhonemiser Starting power-on self test.
2016-10-14 12:03:05,302 [main] INFO  marytts.JPhonemiser Power-on self test complete.
2016-10-14 12:03:05,302 [main] INFO  marytts.JTokeniser Module started (RAWMARYXML->TOKENS, locale ru).
2016-10-14 12:03:05,318 [main] INFO  marytts.JTokeniser Starting power-on self test.
2016-10-14 12:03:05,323 [main] INFO  marytts.JTokeniser Power-on self test complete.
2016-10-14 12:03:05,323 [main] INFO  marytts.DummyTokens2Words Module started (TOKENS->WORDS, locale null).
2016-10-14 12:03:05,323 [main] INFO  marytts.DummyTokens2Words Starting power-on self test.
2016-10-14 12:03:05,324 [main] INFO  marytts.DummyTokens2Words Power-on self test complete.
2016-10-14 12:03:05,324 [main] INFO  marytts.JPhonemiser Module started (PARTSOFSPEECH->PHONEMES, locale ru).
2016-10-14 12:03:05,324 [main] INFO  marytts.JPhonemiser Starting power-on self test.
2016-10-14 12:03:05,324 [main] INFO  marytts.JPhonemiser Power-on self test complete.
2016-10-14 12:03:05,329 [main] INFO  marytts.Prosody Module started (PHONEMES->INTONATION, locale null).
2016-10-14 12:03:05,329 [main] INFO  marytts.Prosody Starting power-on self test.
2016-10-14 12:03:05,330 [main] INFO  marytts.Prosody Power-on self test complete.
2016-10-14 12:03:05,330 [main] INFO  marytts.OpenNLPPosTagger Module started (WORDS->PARTSOFSPEECH, locale ru).
2016-10-14 12:03:05,331 [main] INFO  marytts.OpenNLPPosTagger Starting power-on self test.
2016-10-14 12:03:05,332 [main] INFO  marytts.OpenNLPPosTagger Power-on self test complete.
2016-10-14 12:03:05,332 [main] INFO  marytts.JPhonemiser Module started (PARTSOFSPEECH->PHONEMES, locale sv).
2016-10-14 12:03:05,332 [main] INFO  marytts.JPhonemiser Starting power-on self test.
2016-10-14 12:03:05,332 [main] INFO  marytts.JPhonemiser Power-on self test complete.
2016-10-14 12:03:05,332 [main] INFO  marytts.OpenNLPPosTagger Module started (WORDS->PARTSOFSPEECH, locale sv).
2016-10-14 12:03:05,333 [main] INFO  marytts.OpenNLPPosTagger Starting power-on self test.
2016-10-14 12:03:05,333 [main] INFO  marytts.OpenNLPPosTagger Power-on self test complete.
2016-10-14 12:03:05,333 [main] INFO  marytts.JTokeniser Module started (RAWMARYXML->TOKENS, locale te).
2016-10-14 12:03:05,349 [main] INFO  marytts.JTokeniser Starting power-on self test.
2016-10-14 12:03:05,351 [main] INFO  marytts.JTokeniser Power-on self test complete.
2016-10-14 12:03:05,351 [main] INFO  marytts.DummyTokens2Words Module started (TOKENS->WORDS, locale null).
2016-10-14 12:03:05,351 [main] INFO  marytts.DummyTokens2Words Starting power-on self test.
2016-10-14 12:03:05,352 [main] INFO  marytts.DummyTokens2Words Power-on self test complete.
2016-10-14 12:03:05,352 [main] INFO  marytts.JPhonemiser Module started (PARTSOFSPEECH->PHONEMES, locale te).
2016-10-14 12:03:05,352 [main] INFO  marytts.JPhonemiser Starting power-on self test.
2016-10-14 12:03:05,352 [main] INFO  marytts.JPhonemiser Power-on self test complete.
2016-10-14 12:03:05,356 [main] INFO  marytts.Prosody Module started (PHONEMES->INTONATION, locale null).
2016-10-14 12:03:05,356 [main] INFO  marytts.Prosody Starting power-on self test.
2016-10-14 12:03:05,356 [main] INFO  marytts.Prosody Power-on self test complete.
2016-10-14 12:03:05,356 [main] INFO  marytts.OpenNLPPosTagger Module started (WORDS->PARTSOFSPEECH, locale te).
2016-10-14 12:03:05,357 [main] INFO  marytts.OpenNLPPosTagger Starting power-on self test.
2016-10-14 12:03:05,357 [main] INFO  marytts.OpenNLPPosTagger Power-on self test complete.
2016-10-14 12:03:05,357 [main] INFO  marytts.JPhonemiser Module started (PARTSOFSPEECH->PHONEMES, locale tr).
2016-10-14 12:03:05,358 [main] INFO  marytts.JPhonemiser Starting power-on self test.
2016-10-14 12:03:05,358 [main] INFO  marytts.JPhonemiser Power-on self test complete.
2016-10-14 12:03:05,358 [main] INFO  marytts.OpenNLPPosTagger Module started (WORDS->PARTSOFSPEECH, locale tr).
2016-10-14 12:03:05,359 [main] INFO  marytts.OpenNLPPosTagger Starting power-on self test.
2016-10-14 12:03:05,359 [main] INFO  marytts.OpenNLPPosTagger Power-on self test complete.
2016-10-14 12:03:05,384 [main] INFO  marytts.UnitSelectionSynthesizer started.
2016-10-14 12:03:05,396 [main] INFO  marytts.TargetFeatureLister Module started (ACOUSTPARAMS->TARGETFEATURES, locale null).
2016-10-14 12:03:05,396 [main] INFO  marytts.HTSEngine Module started (TARGETFEATURES->AUDIO, locale null).
2016-10-14 12:03:05,455 [main] INFO  marytts.HMMData Loading Tree Set in CARTs:
2016-10-14 12:03:05,555 [main] INFO  marytts.HMMData Loading GV Model Set:
2016-10-14 12:03:05,726 [main] INFO  marytts.Voice Registering voice `cmu-slt-hsmm': female, locale en_US
2016-10-14 12:03:05,726 [main] INFO  marytts.Voice New default voice for locale en_US: cmu-slt-hsmm (desire 0)
2016-10-14 12:03:05,726 [main] INFO  marytts.HMMSynthesizer started.
2016-10-14 12:03:05,726 [main] INFO  marytts.Synthesis Module started (ACOUSTPARAMS->AUDIO, locale null).
2016-10-14 12:03:05,726 [main] INFO  marytts.HMMSynthesizer Starting power-on self test.
2016-10-14 12:03:05,763 [main] INFO  marytts.HTSEngine Using prosody from acoustparams.
2016-10-14 12:03:05,768 [main] INFO  marytts.HTSEngine Number of models in sentence numModel=7  Total number of states numState=35
2016-10-14 12:03:05,768 [main] INFO  marytts.HTSEngine Total number of frames=147  Number of voiced frames=89
2016-10-14 12:03:05,776 [main] INFO  marytts.ParameterGeneration Parameter generation for MGC: 
2016-10-14 12:03:05,777 [main] INFO  marytts.PStream Context-dependent global variance optimization: gvLength = 107
2016-10-14 12:03:05,783 [main] INFO  marytts.PStream Gradient GV optimization for feature: (0)  number of iterations=23
2016-10-14 12:03:05,794 [main] INFO  marytts.PStream Gradient GV optimization for feature: (1)  number of iterations=54
2016-10-14 12:03:05,798 [main] INFO  marytts.PStream Gradient GV optimization for feature: (2)  number of iterations=38
2016-10-14 12:03:05,799 [main] INFO  marytts.PStream Gradient GV optimization for feature: (3)  number of iterations=20
2016-10-14 12:03:05,800 [main] INFO  marytts.PStream Gradient GV optimization for feature: (4)  number of iterations=13
2016-10-14 12:03:05,801 [main] INFO  marytts.PStream Gradient GV optimization for feature: (5)  number of iterations=21
2016-10-14 12:03:05,802 [main] INFO  marytts.PStream Gradient GV optimization for feature: (6)  number of iterations=7
2016-10-14 12:03:05,803 [main] INFO  marytts.PStream Gradient GV optimization for feature: (7)  number of iterations=4
2016-10-14 12:03:05,805 [main] INFO  marytts.PStream Gradient GV optimization for feature: (8)  number of iterations=11
2016-10-14 12:03:05,807 [main] INFO  marytts.PStream Gradient GV optimization for feature: (9)  number of iterations=19
2016-10-14 12:03:05,808 [main] INFO  marytts.PStream Gradient GV optimization for feature: (10)  number of iterations=16
2016-10-14 12:03:05,808 [main] INFO  marytts.PStream Gradient GV optimization for feature: (11)  number of iterations=9
2016-10-14 12:03:05,809 [main] INFO  marytts.PStream Gradient GV optimization for feature: (12)  number of iterations=2
2016-10-14 12:03:05,810 [main] INFO  marytts.PStream Gradient GV optimization for feature: (13)  number of iterations=13
2016-10-14 12:03:05,811 [main] INFO  marytts.PStream Gradient GV optimization for feature: (14)  number of iterations=12
2016-10-14 12:03:05,811 [main] INFO  marytts.PStream Gradient GV optimization for feature: (15)  number of iterations=14
2016-10-14 12:03:05,812 [main] INFO  marytts.PStream Gradient GV optimization for feature: (16)  number of iterations=15
2016-10-14 12:03:05,813 [main] INFO  marytts.PStream Gradient GV optimization for feature: (17)  number of iterations=14
2016-10-14 12:03:05,815 [main] INFO  marytts.PStream Gradient GV optimization for feature: (18)  number of iterations=19
2016-10-14 12:03:05,815 [main] INFO  marytts.PStream Gradient GV optimization for feature: (19)  number of iterations=12
2016-10-14 12:03:05,817 [main] INFO  marytts.PStream Gradient GV optimization for feature: (20)  number of iterations=17
2016-10-14 12:03:05,818 [main] INFO  marytts.PStream Gradient GV optimization for feature: (21)  number of iterations=23
2016-10-14 12:03:05,819 [main] INFO  marytts.PStream Gradient GV optimization for feature: (22)  number of iterations=12
2016-10-14 12:03:05,821 [main] INFO  marytts.PStream Gradient GV optimization for feature: (23)  number of iterations=18
2016-10-14 12:03:05,822 [main] INFO  marytts.PStream Gradient GV optimization for feature: (24)  number of iterations=12
2016-10-14 12:03:05,822 [main] INFO  marytts.PStream Gradient GV optimization for feature: (25)  number of iterations=11
2016-10-14 12:03:05,823 [main] INFO  marytts.PStream Gradient GV optimization for feature: (26)  number of iterations=13
2016-10-14 12:03:05,823 [main] INFO  marytts.PStream Gradient GV optimization for feature: (27)  number of iterations=9
2016-10-14 12:03:05,824 [main] INFO  marytts.PStream Gradient GV optimization for feature: (28)  number of iterations=13
2016-10-14 12:03:05,825 [main] INFO  marytts.PStream Gradient GV optimization for feature: (29)  number of iterations=8
2016-10-14 12:03:05,826 [main] INFO  marytts.PStream Gradient GV optimization for feature: (30)  number of iterations=11
2016-10-14 12:03:05,826 [main] INFO  marytts.PStream Gradient GV optimization for feature: (31)  number of iterations=12
2016-10-14 12:03:05,827 [main] INFO  marytts.PStream Gradient GV optimization for feature: (32)  number of iterations=7
2016-10-14 12:03:05,828 [main] INFO  marytts.PStream Gradient GV optimization for feature: (33)  number of iterations=8
2016-10-14 12:03:05,828 [main] INFO  marytts.PStream Gradient GV optimization for feature: (34)  number of iterations=12
2016-10-14 12:03:05,828 [main] INFO  marytts.ParameterGeneration Using f0 from maryXML acoustparams
2016-10-14 12:03:05,864 [main] INFO  marytts.PStream Context-dependent global variance optimization: gvLength = 107
2016-10-14 12:03:05,865 [main] INFO  marytts.PStream Gradient GV optimization for feature: (0)  number of iterations=16
2016-10-14 12:03:05,865 [main] INFO  marytts.PStream Gradient GV optimization for feature: (1)  number of iterations=2
2016-10-14 12:03:05,865 [main] INFO  marytts.PStream Gradient GV optimization for feature: (2)  number of iterations=2
2016-10-14 12:03:05,866 [main] INFO  marytts.PStream Gradient GV optimization for feature: (3)  number of iterations=8
2016-10-14 12:03:05,867 [main] INFO  marytts.PStream Gradient GV optimization for feature: (4)  number of iterations=26
2016-10-14 12:03:05,938 [main] INFO  marytts.HMMSynthesizer Power-on self test complete.
2016-10-14 12:03:05,938 [main] INFO  marytts.TextToMaryXML Module started (TEXT->RAWMARYXML, locale null).
2016-10-14 12:03:05,938 [main] INFO  marytts.TextToMaryXML Starting power-on self test.
2016-10-14 12:03:05,939 [main] WARN  marytts.TextToMaryXML Locale is null, overriding with en_US
2016-10-14 12:03:05,939 [main] WARN  marytts.TextToMaryXML Locale is null, overriding with en_US
2016-10-14 12:03:05,939 [main] INFO  marytts.TextToMaryXML Power-on self test complete.
2016-10-14 12:03:06,218 [main] INFO  marytts.SableParser Module started (SABLE->RAWMARYXML, locale null).
2016-10-14 12:03:06,218 [main] INFO  marytts.SableParser Starting power-on self test.
2016-10-14 12:03:06,218 [main] INFO  marytts.SableParser Power-on self test complete.
2016-10-14 12:03:06,342 [main] INFO  marytts.SSMLParser Module started (SSML->RAWMARYXML, locale null).
2016-10-14 12:03:06,342 [main] INFO  marytts.SSMLParser Starting power-on self test.
2016-10-14 12:03:06,342 [main] INFO  marytts.SSMLParser Power-on self test complete.
2016-10-14 12:03:06,440 [main] INFO  marytts.APMLParser Module started (APML->RAWMARYXML, locale null).
2016-10-14 12:03:06,441 [main] INFO  marytts.APMLParser Starting power-on self test.
2016-10-14 12:03:06,441 [main] INFO  marytts.APMLParser Power-on self test complete.
2016-10-14 12:03:06,499 [main] INFO  marytts.EmotionmlParser Module started (EMOTIONML->RAWMARYXML, locale null).
