id,time,cur_frame,total_frames,rarm_pos_x,rarm_pos_y,rarm_pos_z,rarm_yaw,rarm_roll,rarm_pitch,rhand_pos_x,rhand_pos_y,rhand_pos_z,rhand_yaw,rhand_roll,rhand_pitch,rhand_vel_x,rhand_vel_y,rhand_vel_z,rfinger1_pos_x,rfinger1_pos_y,rfinger1_pos_z,rfinger1_yaw,rfinger1_roll,rfinger1_pitch,rfinger1_vel_x,rfinger1_vel_y,rfinger1_vel_z,rfinger2_pos_x,rfinger2_pos_y,rfinger2_pos_z,rfinger2_yaw,rfinger2_roll,rfinger2_pitch,rfinger2_vel_x,rfinger2_vel_y,rfinger2_vel_z,rfinger3_pos_x,rfinger3_pos_y,rfinger3_pos_z,rfinger3_yaw,rfinger3_roll,rfinger3_pitch,rfinger3_vel_x,rfinger3_vel_y,rfinger3_vel_z,rfinger4_pos_x,rfinger4_pos_y,rfinger4_pos_z,rfinger4_yaw,rfinger4_roll,rfinger4_pitch,rfinger4_vel_x,rfinger4_vel_y,rfinger4_vel_z,rfinger5_pos_x,rfinger5_pos_y,rfinger5_pos_z,rfinger5_yaw,rfinger5_roll,rfinger5_pitch,rfinger5_vel_x,rfinger5_vel_y,rfinger5_vel_z,larm_pos_x,larm_pos_y,larm_pos_z,larm_yaw,larm_roll,larm_pitch,lhand_pos_x,lhand_pos_y,lhand_pos_z,lhand_yaw,lhand_roll,lhand_pitch,lhand_vel_x,lhand_vel_y,lhand_vel_z,lfinger1_pos_x,lfinger1_pos_y,lfinger1_pos_z,lfinger1_yaw,lfinger1_roll,lfinger1_pitch,lfinger1_vel_x,lfinger1_vel_y,lfinger1_vel_z,lfinger2_pos_x,lfinger2_pos_y,lfinger2_pos_z,lfinger2_yaw,lfinger2_roll,lfinger2_pitch,lfinger2_vel_x,lfinger2_vel_y,lfinger2_vel_z,lfinger3_pos_x,lfinger3_pos_y,lfinger3_pos_z,lfinger3_yaw,lfinger3_roll,lfinger3_pitch,lfinger3_vel_x,lfinger3_vel_y,lfinger3_vel_z,lfinger4_pos_x,lfinger4_pos_y,lfinger4_pos_z,lfinger4_yaw,lfinger4_roll,lfinger4_pitch,lfinger4_vel_x,lfinger4_vel_y,lfinger4_vel_z,lfinger5_pos_x,lfinger5_pos_y,lfinger5_pos_z,lfinger5_yaw,lfinger5_roll,lfinger5_pitch,lfinger5_vel_x,lfinger5_vel_y,lfinger5_vel_z,sign
0,23171218,0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-304.21207,100.34904,273.5003,0.5906193,0.31286186,-0.7438322,-161.22745,205.83273,56.886414,-0.11529133,0.55571634,-0.8233391,11.449464,0.14967301,18.43159,49.767166,-5.269623,-30.296118,0.17905109,-0.18707378,-0.9658903,-67.85522,-121.239624,-0.6154953,61.328995,19.794403,-49.24432,0.8273325,-0.24561247,-0.5051687,-10.823969,60.803913,-21.008163,37.65497,-12.836014,-0.4733162,0.26385286,-0.5780296,0.772181,2.8215618,-7.807348,24.46237,26.65303,-25.565186,0.28474808,0.2637725,-0.4916184,0.82990086,10.438725,-1.9296225,4.0399685,16.066238,-30.82985,-7.1318855,0.38333216,-0.36250824,0.8494965,9.4237,2.2805836,3.8728163,sign
1,50933328,1,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-305.35226,100.597885,272.6264,0.5971022,0.3101029,-0.73980075,-160.76175,205.72127,57.22548,-0.11392723,0.5618626,-0.8193479,14.359193,-2.066799,13.446193,48.180145,-8.122803,-30.512175,0.16181791,-0.21448357,-0.96322984,-45.596672,-102.06498,3.6225786,60.94091,21.73619,-50.026752,0.8220157,-0.21367146,-0.5278586,-1.7443876,59.95295,-15.883251,37.534256,-12.85495,-0.08862305,0.25640857,-0.58213234,0.7716065,9.15499,-4.98165,22.778059,26.544373,-25.615341,0.5680809,0.25455952,-0.49612376,0.8300968,11.719133,-4.0067215,14.792573,16.177597,-30.735245,-7.263809,0.38102973,-0.36766398,0.8483157,16.283699,0.61500996,5.4914145,sign
2,101175855,2,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-308.4247,101.569824,269.17935,0.62052625,0.30266765,-0.72342205,-157.7987,204.90509,57.724545,-0.10264559,0.55874157,-0.8229652,47.552734,-12.91565,3.824251,45.889755,-13.682327,-30.050507,0.15280189,-0.28021967,-0.94769645,10.240825,-101.68846,11.695489,60.75364,25.844284,-50.57852,0.82287973,-0.1437882,-0.5497216,44.480396,48.91411,-4.422294,37.46582,-12.379227,1.8227844,0.23260199,-0.5735875,0.7854258,44.258217,-8.165823,35.949963,26.96312,-25.13298,1.6546326,0.23780787,-0.4893121,0.83905965,53.65795,-6.313316,19.604445,17.037949,-30.396667,-6.6342545,0.3634363,-0.35765797,0.86022955,59.83645,-7.9411683,13.293797,sign
3,151134509,3,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-309.90805,104.5275,267.4904,0.63084793,0.29059014,-0.71943605,-155.92928,204.99738,57.068703,-0.08376633,0.55977404,-0.82440054,44.31628,-0.5732737,-12.400955,44.80365,-16.76361,-29.405642,0.15503424,-0.3059371,-0.93934387,22.132807,-62.282192,3.7826583,61.20787,27.391846,-50.527706,0.82268244,-0.115657724,-0.55661196,50.795456,38.778816,-13.544068,37.170708,-12.636993,3.048561,0.20645343,-0.57376397,0.792573,38.12047,-3.4768095,14.79763,26.818527,-25.250214,2.3568916,0.21728314,-0.49056524,0.8438802,43.444595,-0.71655995,2.331422,17.097229,-30.439056,-6.1380997,0.3423109,-0.35729152,0.8690029,48.19359,0.03391443,-1.7953647,sign
4,201144904,4,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-304.90317,103.520905,267.53464,0.61450666,0.29586506,-0.7313313,-153.44563,205.94461,54.948288,-0.05427323,0.576487,-0.8153019,54.069557,5.04351,-41.92705,44.687897,-18.089111,-28.529745,0.17194453,-0.2994224,-0.9384995,57.828426,-15.918309,-17.608013,62.3329,29.053421,-49.346344,0.8266107,-0.08939322,-0.555629,76.22679,48.258656,-13.658402,36.539192,-13.346664,4.350891,0.16407664,-0.58986133,0.7906595,42.19434,-1.7742862,-11.657974,26.448616,-25.622849,2.6346931,0.18836409,-0.50937724,0.83967483,51.012573,2.61555,-31.965076,16.888245,-30.539185,-6.0839806,0.31151614,-0.37618956,0.8726048,56.254986,5.8991475,-36.598366,sign
5,251454086,5,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-296.03616,109.79336,270.71628,0.583427,0.2721677,-0.7652043,-149.57936,207.14099,50.874634,-0.0047472874,0.59629154,-0.8027539,77.975136,33.360744,-83.67268,43.59265,-21.154266,-27.634365,0.17706577,-0.30023396,-0.9372872,44.92327,-31.283695,-72.80011,64.594055,28.531708,-47.61972,0.8314464,-0.09301656,-0.5477634,125.2725,23.548786,-47.356747,35.56649,-15.116379,5.343395,0.10822408,-0.61302996,0.78261214,55.752132,-9.697417,-71.70946,25.22496,-26.819672,2.829464,0.14115925,-0.5357797,0.8324747,48.53261,3.9864407,-89.29748,15.643036,-31.145142,-6.0635414,0.26280183,-0.4067379,0.8749283,46.366863,19.599197,-92.298004,sign
6,301627160,6,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-289.18176,105.571754,270.95346,0.56613785,0.29392737,-0.7701264,-145.77972,208.33281,50.30934,0.018043842,0.6025958,-0.79784256,68.30852,16.512218,-14.163496,42.662895,-23.218185,-26.777542,0.18403743,-0.30393115,-0.9347492,56.64729,-13.913631,6.8216543,65.50043,28.982971,-46.977486,0.8330263,-0.08219961,-0.5470927,86.06581,25.363897,2.3741398,34.72793,-15.86499,6.337269,0.069453195,-0.61876005,0.78250384,54.42691,7.435897,2.6616771,24.77835,-27.218018,3.0880585,0.11908928,-0.5444329,0.83030754,62.282986,11.357514,-8.281056,15.213715,-31.355728,-5.8190384,0.23651153,-0.41559905,0.8782595,63.188805,13.839993,-8.95692,sign
7,352574005,7,10,188.16003,-17.793802,283.9388,-0.20697606,0.48896614,-0.8473919,118.17262,127.55104,46.17679,-0.26676542,0.5961987,-0.7572208,-427.97095,137.3409,168.09839,-34.79624,-21.514877,-29.000605,-0.34329852,0.06658688,-0.936863,-313.2597,81.24644,51.652203,-44.3599,48.16472,-62.462273,-0.40729633,0.22106615,-0.88613737,-536.38855,164.66072,259.0715,-23.827179,-33.90255,1.6423187,0.15428017,-0.6960906,0.70118153,-287.6124,51.724503,55.469772,-8.512314,-36.310127,-1.8891144,0.094916426,-0.64129776,0.7613988,-296.9545,98.590614,49.98467,4.7183,-34.6549,-9.093437,0.009812841,-0.5962391,0.8027469,-290.26944,168.76593,68.12868,-288.45578,100.510574,266.82614,0.5771492,0.31651387,-0.7528066,-141.87685,208.49126,50.273064,0.031236097,0.5964403,-0.8020494,80.7013,5.0083656,-2.6824236,42.9019,-23.895996,-25.35593,0.20739318,-0.3134511,-0.9266803,86.7524,-7.9064207,28.989025,66.070274,30.04042,-46.16319,0.8412116,-0.06269904,-0.5370585,94.38429,25.330242,15.718117,34.476707,-15.505783,7.4948006,0.04984084,-0.61124384,0.7898714,74.484474,11.458148,20.349482,24.977203,-26.934402,3.9365044,0.10471895,-0.5366364,0.83729047,83.67873,9.97847,14.239006,15.667503,-31.240189,-5.1339912,0.21888784,-0.40556172,0.8874727,88.87144,7.146995,10.711779,sign
8,403559073,8,10,207.12839,10.259931,280.69778,-0.3574578,0.43277076,-0.82760704,95.657684,140.92366,50.432465,-0.3866557,0.57213193,-0.7232997,-440.77554,247.43591,95.82652,-35.969376,-23.60318,-25.162271,-0.42512995,0.012271729,-0.90504915,-431.6377,200.7671,133.02068,-54.249752,45.79219,-56.328354,-0.54135233,0.1925184,-0.8184585,-623.85754,218.4549,220.379,-22.456131,-33.858223,6.172558,0.27884227,-0.66664016,0.6912582,-399.32007,241.87375,160.66188,-8.124512,-36.44639,0.32631683,0.2181094,-0.6191323,0.7543895,-421.51315,240.68123,119.20539,3.8302689,-34.829643,-8.788654,0.13824898,-0.5728544,0.807914,-443.78763,247.29019,88.38371,-288.70877,95.8114,258.52353,0.5962584,0.3438324,-0.7254345,-136.23192,210.30899,48.82227,0.059931416,0.5963731,-0.800467,115.02562,35.55522,-35.679504,43.25734,-24.551025,-23.843407,0.23526916,-0.31429002,-0.919712,125.235756,24.603682,0.28455225,67.06253,31.302689,-45.26369,0.8439377,-0.032716844,-0.53544265,137.74821,62.361538,-12.140969,33.927757,-15.81105,8.716629,0.016508458,-0.6121782,0.7905475,103.492,31.108345,-9.777758,24.54351,-27.157913,4.8885155,0.07151652,-0.5367765,0.84068805,107.12641,32.590927,-15.836807,15.657639,-31.31755,-4.6461067,0.19206691,-0.4064521,0.8932564,117.070564,35.16143,-26.229961,sign
9,454214589,9,10,231.49814,55.84968,266.3531,-0.5201002,0.33073276,-0.78747165,74.85953,158.81624,48.899265,-0.5308883,0.4958754,-0.68721557,-374.18307,313.33768,-22.520052,-38.156696,-26.703491,-16.08287,-0.5450933,-0.12311502,-0.82928646,-397.4648,249.65329,131.51813,-65.465454,40.393234,-48.71527,-0.69892657,0.12542397,-0.7041097,-578.4772,216.60948,113.15191,-20.153439,-32.214844,14.26165,0.43036014,-0.58258164,0.6894844,-319.66745,334.59097,99.607605,-7.6360245,-36.058258,5.995579,0.37264824,-0.5364975,0.75716823,-350.19696,316.47025,62.746117,2.0733871,-35.638664,-5.4734497,0.29951575,-0.48354676,0.82247967,-388.89957,303.03815,25.1687,-287.8582,97.83157,255.55745,0.60383695,0.34688914,-0.71766907,-132.5782,212.43085,47.430157,0.083512135,0.58046234,-0.8099933,66.347336,48.21177,-25.081312,44.223663,-24.756302,-21.217072,0.28183812,-0.32098112,-0.9041783,86.37099,50.515743,23.642035,67.84281,32.4964,-44.463394,0.852494,-0.0080544725,-0.5226749,83.20362,56.26438,-11.974122,33.629745,-15.340408,10.390533,-0.0075435177,-0.59721434,0.8020462,60.88181,52.047813,0.3565218,24.477127,-26.848312,6.5532417,0.04207827,-0.51798826,0.8543521,61.79831,50.848957,1.4831665,16.15329,-31.22261,-3.390419,0.16393171,-0.38549864,0.90802926,70.49769,48.12083,-4.8992963,sign
