id,time,cur_frame,total_frames,arm_pos_x,arm_pos_y,arm_pos_z,arm_yaw,arm_roll,arm_pitch,hand_pos_x,hand_pos_y,hand_pos_z,hand_yaw,hand_roll,hand_pitch,hand_vel_x,hand_vel_y,hand_vel_z,finger1_pos_x,finger1_pos_y,finger1_pos_z,finger1_yaw,finger1_roll,finger1_pitch,finger1_vel_x,finger1_vel_y,finger1_vel_z,finger2_pos_x,finger2_pos_y,finger2_pos_z,finger2_yaw,finger2_roll,finger2_pitch,finger2_vel_x,finger2_vel_y,finger2_vel_z,finger3_pos_x,finger3_pos_y,finger3_pos_z,finger3_yaw,finger3_roll,finger3_pitch,finger3_vel_x,finger3_vel_y,finger3_vel_z,finger4_pos_x,finger4_pos_y,finger4_pos_z,finger4_yaw,finger4_roll,finger4_pitch,finger4_vel_x,finger4_vel_y,finger4_vel_z,finger5_pos_x,finger5_pos_y,finger5_pos_z,finger5_yaw,finger5_roll,finger5_pitch,finger5_vel_x,finger5_vel_y,finger5_vel_z,sign
0,5894198,0,99,91.73277,107.75745,264.10202,-0.15951706,0.73326784,-0.6609634,28.247515,318.6492,38.67944,-0.23750542,0.32894018,-0.91399646,2.4451263,0.92626876,2.43686,-82.76011,2.7980042,-5.752487,-0.67815125,0.21066695,-0.7040812,-2.3200428,15.28971,12.576216,-44.867393,29.134888,-91.206665,-0.20010838,0.1565257,-0.9671899,4.2039037,11.135028,4.3660703,-20.475164,26.641083,-108.92604,-0.14932922,0.11791062,-0.9817321,5.134423,13.806041,4.208715,1.5863094,24.917053,-104.24684,-0.16728967,0.14273511,-0.9755208,2.6623685,0.8972846,2.581383,28.628046,15.145081,-85.718094,-0.100793324,0.18547013,-0.9774669,5.3980308,9.345047,3.5767608,fall
1,50793118,1,99,91.899994,108.035385,264.47284,-0.15960735,0.7321263,-0.6622059,28.41024,318.77704,38.755005,-0.23703244,0.33163702,-0.9131443,3.4602597,2.6621616,1.8597026,-82.889755,3.1362305,-5.4801254,-0.67911667,0.21649282,-0.7013782,-0.124531515,13.964867,10.310023,-44.813972,29.48761,-91.13693,-0.19949502,0.16394709,-0.9660865,4.9386005,14.797731,4.1169534,-20.420288,27.002838,-108.861046,-0.14844325,0.12271249,-0.9812779,5.669195,13.291176,3.4873106,1.5465794,25.00946,-104.21409,-0.1674342,0.14417729,-0.9752839,3.2176158,4.325018,2.441636,28.673111,15.487213,-85.66194,-0.097733095,0.19463608,-0.9759944,6.5399146,12.826134,3.4765542,fall
2,100760722,2,99,92.01329,108.76477,264.98865,-0.15862723,0.73093706,-0.6637533,28.793314,319.3658,38.906586,-0.23670268,0.3344889,-0.9121891,5.337951,8.222275,1.9957973,-83.00839,3.6907654,-5.124687,-0.6805269,0.22449577,-0.6974846,3.4111352,18.90887,8.6415205,-44.787888,29.901794,-91.035995,-0.19948548,0.17148037,-0.9647798,5.7398057,15.516858,3.6506293,-20.419254,27.331848,-108.78672,-0.14856093,0.1263229,-0.9808018,5.653881,13.085432,3.0146704,1.4996605,25.15445,-104.17601,-0.16784096,0.14668526,-0.9748399,5.003312,10.503533,2.532554,28.643679,15.644348,-85.64835,-0.09690437,0.19980936,-0.97503114,5.5427074,11.022943,2.3229966,fall
3,151728638,3,99,92.024574,108.98822,265.1058,-0.15826176,0.73074245,-0.66405475,28.924875,319.59445,38.95077,-0.23622055,0.33541694,-0.9119733,3.5756195,5.9468937,1.2612047,-83.08402,3.9047241,-4.972023,-0.68145835,0.22766724,-0.6955445,1.2279751,14.339439,7.3577113,-44.738716,30.027252,-91.027145,-0.19896261,0.17425421,-0.96439064,4.455417,10.801727,2.0446255,-20.39409,27.356049,-108.78763,-0.1483076,0.12660624,-0.9808036,3.7394204,5.8871746,1.2277458,1.4983273,25.16101,-104.17108,-0.16766028,0.14758773,-0.9747348,3.6375494,6.954147,1.4888572,28.658987,15.677856,-85.63432,-0.096606,0.20083955,-0.9748491,3.7688236,7.0330477,1.5246121,fall
4,202002955,4,99,92.04577,109.17239,265.21594,-0.1580154,0.7305084,-0.6643709,29.021828,319.75885,38.985104,-0.2359769,0.3360706,-0.91179574,2.4787345,4.177911,0.8766735,-83.20415,4.1888733,-4.691902,-0.6832554,0.23158303,-0.69248205,-0.66545165,12.835221,8.855411,-44.72004,30.10022,-91.0161,-0.1988816,0.17546049,-0.96418864,2.9024806,6.7391944,1.3095893,-20.453331,27.084473,-108.83168,-0.14901376,0.122566685,-0.98120964,0.6534291,-5.5276804,-0.5607782,1.4750633,25.163574,-104.168106,-0.16779271,0.14841631,-0.9745862,2.2682078,5.005754,1.0631622,28.60738,15.654938,-85.64009,-0.0972132,0.20117687,-0.97471917,1.1181233,3.4607582,0.7466667,fall
5,252537838,5,99,91.75284,109.54769,265.4664,-0.15633626,0.72917664,-0.66622853,29.18924,319.83478,38.75075,-0.2360151,0.33778113,-0.91115355,2.6163886,1.7180073,-4.5246806,-83.26561,4.048767,-4.635174,-0.68382764,0.23324254,-0.69135934,2.345846,-1.5165683,-5.1845784,-44.73076,29.988922,-91.04526,-0.19849135,0.1757764,-0.9642115,2.4821723,-0.3659172,-5.104231,-20.706476,26.388092,-108.90161,-0.15217085,0.11187221,-0.9820024,-1.6880153,-9.304473,-5.5364842,1.2151432,25.074707,-104.13953,-0.17050937,0.14718422,-0.97430146,-1.8513702,-0.20894788,-4.0110955,28.30135,15.643036,-85.62378,-0.10309549,0.1961883,-0.9751315,-3.8576736,-1.9579074,-4.8308644,fall
6,302617779,6,99,91.28639,109.77706,265.346,-0.1546133,0.7285481,-0.66731733,29.243523,319.9605,38.333164,-0.23490936,0.33902967,-0.9109756,1.0837966,2.3722556,-8.788952,-83.219574,4.022064,-4.7997055,-0.68183273,0.23328374,-0.69331294,3.5232224,-1.643838,-15.60715,-44.6198,29.882263,-91.12215,-0.19711885,0.17486037,-0.9646595,3.4654055,-0.66003394,-10.632682,-20.829788,25.874908,-108.95929,-0.1544357,0.10440656,-0.9824708,-3.455746,-14.437164,-10.542943,0.99412537,24.81903,-104.13692,-0.17370085,0.14454904,-0.97413224,-4.5726147,-3.1599233,-8.480934,28.089733,15.41687,-85.62613,-0.10750482,0.19082898,-0.97571874,-5.172883,-4.759805,-9.111225,fall
7,352604960,7,99,90.8869,109.839584,265.13977,-0.15337527,0.7281097,-0.66808105,29.262766,319.9795,37.90791,-0.23326986,0.34044394,-0.9108694,0.51507217,0.512732,-9.119135,-83.110306,3.933899,-5.121662,-0.67831177,0.2324108,-0.6970498,4.1564884,-1.8760176,-17.980453,-44.41678,29.517883,-91.28815,-0.19436559,0.16990897,-0.96610194,5.2144766,-7.70549,-12.798607,-21.0582,24.548065,-109.09035,-0.1582699,0.084683344,-0.9837578,-5.5005956,-32.086765,-12.266476,0.83937836,24.539886,-104.132,-0.17622821,0.14096966,-0.9742028,-5.373302,-8.627863,-9.0803175,27.890192,15.138489,-85.61708,-0.11195932,0.18465778,-0.97640496,-5.6406884,-7.9283676,-9.2295475,fall
8,403212093,8,99,90.92639,110.91895,265.4587,-0.15560393,0.7210266,-0.67520964,28.971857,319.63663,36.352104,-0.22821997,0.34950623,-0.90871394,-7.196624,-8.161194,-38.280396,-83.00554,4.064636,-5.595705,-0.6727097,0.24035336,-0.6997799,-3.7111197,-4.7905297,-50.716354,-43.841797,29.731567,-91.41333,-0.18752627,0.17014858,-0.9674106,6.870493,-3.087064,-41.50605,-20.565842,25.04715,-109.025856,-0.15363693,0.087677956,-0.9842298,4.0216093,0.026321618,-37.179726,0.8124294,24.500488,-103.974106,-0.17879039,0.13491885,-0.9745927,-7.364342,-9.381021,-34.745514,28.042929,15.60437,-85.36951,-0.111936085,0.1875177,-0.9758624,-4.3185377,1.8118103,-32.602947,fall
9,453282245,9,99,90.54215,111.95312,265.2787,-0.15832606,0.7127764,-0.6832881,28.359585,319.03796,33.985783,-0.21924284,0.3617409,-0.9061325,-9.223538,-8.769769,-31.896532,-82.94368,3.577179,-6.588745,-0.66549927,0.24735661,-0.7042197,-7.946127,-9.4562025,-44.859005,-42.82368,30.17163,-91.68289,-0.17501698,0.1765702,-0.96860313,6.6364856,-2.6002722,-36.05897,-19.679825,24.815338,-109.07367,-0.14525001,0.07853389,-0.9862732,2.8652124,-20.956518,-33.54721,1.0186272,24.050903,-103.78206,-0.1785125,0.120479755,-0.97653365,-6.796147,-21.563847,-30.140232,28.658173,16.515442,-84.86847,-0.10559046,0.19040848,-0.97600985,-0.57823443,-1.0787711,-25.917562,fall
