id,time,cur_frame,total_frames,rarm_pos_x,rarm_pos_y,rarm_pos_z,rarm_yaw,rarm_roll,rarm_pitch,rhand_pos_x,rhand_pos_y,rhand_pos_z,rhand_yaw,rhand_roll,rhand_pitch,rhand_vel_x,rhand_vel_y,rhand_vel_z,rfinger1_pos_x,rfinger1_pos_y,rfinger1_pos_z,rfinger1_yaw,rfinger1_roll,rfinger1_pitch,rfinger1_vel_x,rfinger1_vel_y,rfinger1_vel_z,rfinger2_pos_x,rfinger2_pos_y,rfinger2_pos_z,rfinger2_yaw,rfinger2_roll,rfinger2_pitch,rfinger2_vel_x,rfinger2_vel_y,rfinger2_vel_z,rfinger3_pos_x,rfinger3_pos_y,rfinger3_pos_z,rfinger3_yaw,rfinger3_roll,rfinger3_pitch,rfinger3_vel_x,rfinger3_vel_y,rfinger3_vel_z,rfinger4_pos_x,rfinger4_pos_y,rfinger4_pos_z,rfinger4_yaw,rfinger4_roll,rfinger4_pitch,rfinger4_vel_x,rfinger4_vel_y,rfinger4_vel_z,rfinger5_pos_x,rfinger5_pos_y,rfinger5_pos_z,rfinger5_yaw,rfinger5_roll,rfinger5_pitch,rfinger5_vel_x,rfinger5_vel_y,rfinger5_vel_z,larm_pos_x,larm_pos_y,larm_pos_z,larm_yaw,larm_roll,larm_pitch,lhand_pos_x,lhand_pos_y,lhand_pos_z,lhand_yaw,lhand_roll,lhand_pitch,lhand_vel_x,lhand_vel_y,lhand_vel_z,lfinger1_pos_x,lfinger1_pos_y,lfinger1_pos_z,lfinger1_yaw,lfinger1_roll,lfinger1_pitch,lfinger1_vel_x,lfinger1_vel_y,lfinger1_vel_z,lfinger2_pos_x,lfinger2_pos_y,lfinger2_pos_z,lfinger2_yaw,lfinger2_roll,lfinger2_pitch,lfinger2_vel_x,lfinger2_vel_y,lfinger2_vel_z,lfinger3_pos_x,lfinger3_pos_y,lfinger3_pos_z,lfinger3_yaw,lfinger3_roll,lfinger3_pitch,lfinger3_vel_x,lfinger3_vel_y,lfinger3_vel_z,lfinger4_pos_x,lfinger4_pos_y,lfinger4_pos_z,lfinger4_yaw,lfinger4_roll,lfinger4_pitch,lfinger4_vel_x,lfinger4_vel_y,lfinger4_vel_z,lfinger5_pos_x,lfinger5_pos_y,lfinger5_pos_z,lfinger5_yaw,lfinger5_roll,lfinger5_pitch,lfinger5_vel_x,lfinger5_vel_y,lfinger5_vel_z,sign
0,666563,0,10,79.5348,-18.982958,271.17206,-0.16003522,0.67256516,-0.7225267,14.934835,202.24823,53.898273,-0.2692454,0.85914075,-0.4351828,-9.261806,-7.5962667,-9.18965,-47.080376,2.8787842,-34.565548,-0.30042282,0.6293672,-0.716689,-2.0311863,-26.762056,-8.98423,-19.779346,-33.59488,-27.982372,0.38401622,-0.91276103,0.1392799,-6.6312246,-15.938976,-6.9045305,-10.881176,-39.25534,-28.28638,0.191888,-0.95069396,0.24363908,1.0440794,-16.002724,11.539359,3.8000984,-38.270416,-29.11372,0.05012883,-0.97497237,0.21660098,2.529263,-12.8417425,15.969715,16.499525,-28.021698,-28.430593,-0.111053035,-0.97226053,0.20585592,1.3358151,-11.398715,6.8827996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a
10,723430,0,10,60.72462,-33.987633,323.54047,-0.07055125,0.55865216,-0.8263959,29.766815,142.51295,53.59179,-0.07534813,0.54135495,-0.83741117,1.0809636,-0.73667914,-0.19360095,-48.005413,24.441895,-20.923378,-0.0030036587,0.49341607,-0.8697882,2.1294048,-3.938192,-2.1709867,-32.32934,81.130844,-63.28605,-0.0696124,0.80544734,-0.58856493,3.6117399,-2.700777,-2.8488708,-12.205019,87.55003,-75.68731,-0.081918724,0.7547381,-0.65089154,9.34124,-3.6983783,-4.8326983,15.709984,77.07216,-73.97397,-0.030686315,0.71455973,-0.6989011,-5.1179557,-2.8277729,-2.7650926,44.351974,60.796448,-51.202545,0.09307349,0.799762,-0.5930582,-5.7015676,-6.5404854,-10.634929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b
20,2167961,0,10,239.65944,113.417915,276.53055,-0.5805282,0.019975938,-0.81399506,63.952892,145.2473,32.786503,-0.38486612,0.51609063,-0.76519835,-1.6828794,-1.7747775,-0.77688235,-72.76832,-16.858551,-4.5252686,-0.79132354,0.061206885,-0.6083262,-0.2980563,-2.7533386,5.51108,-62.77075,30.937454,-60.850304,-0.6467952,-0.10401854,-0.755537,3.8589272,7.145126,1.915639,-59.617188,17.183182,-75.90355,-0.7423032,-0.1852816,-0.6439384,0.8321035,3.602355,3.2960637,-42.540577,3.2450867,-80.31752,-0.7598451,-0.18663728,-0.6227375,-1.2097515,-7.620704,2.0997312,-25.350739,-2.2639923,-67.11051,-0.86118555,-0.006420931,-0.5082502,-3.606042,-1.0004188,1.0671172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,c
30,2448570,0,10,198.90689,234.15186,254.66217,-0.56392217,-0.4014484,-0.72168624,32.36313,135.25197,23.101131,-0.27819225,0.10487716,-0.9547826,16.03138,-8.644058,3.137663,-37.96331,-46.041412,-5.8996334,-0.2588426,-0.55744845,-0.7888293,0.363591,-2.496453,5.591995,-47.439808,16.514313,-87.72107,-0.30344945,-0.036696095,-0.9521406,-0.6824169,-7.2146177,11.943964,-31.970219,-39.65918,-17.565023,-0.17713822,-0.7052073,0.6865164,2.9650898,-0.8265941,6.9241524,-13.361374,-43.176025,-17.254604,-0.27771336,-0.67586064,0.6827062,2.9975636,-3.49372,1.490526,4.8709564,-40.061485,-17.790987,-0.4090062,-0.6442467,0.6462663,4.256273,-7.717086,-1.4959631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,d
40,4393256,0,10,157.79465,135.04295,294.31732,-0.3970514,-0.05934286,-0.91587585,49.431133,157.51794,24.746847,0.028139576,0.7538945,-0.6563926,-0.9122073,-4.113178,2.149026,-12.439365,-28.96344,-56.016884,0.18563396,0.08690459,-0.9787684,13.342751,-9.060311,7.266784,-34.089638,-7.7181396,-38.36817,-0.2179896,-0.975883,0.011529227,1.1974685,3.1117163,-10.0356455,-23.858538,-13.253906,-43.860916,-0.33863026,-0.9407725,0.016632898,1.3354375,7.5817533,-14.470874,-5.2733574,-11.980331,-56.595787,-0.5298592,-0.7669554,-0.36197892,4.41245,0.6587343,-2.0452483,10.197178,-12.154495,-47.302338,-0.6213155,-0.6662059,-0.41247642,1.7723018,1.4269731,-2.8116279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,e
50,7809040,0,10,163.1234,70.90581,308.42065,-0.36178395,0.17884292,-0.9149468,49.875423,133.30489,29.503942,-0.24625644,0.31870845,-0.9153047,0.009672228,-5.208951,1.0726274,-57.666042,-18.023987,-18.428755,-0.6009494,-0.013610011,-0.7991712,2.5365605,0.6033101,-0.4450621,-56.228436,-13.229546,-29.627436,-0.41969216,-0.8932694,0.16102254,0.6264938,10.119142,-19.878447,-15.951458,45.490494,-98.06864,-0.19219911,0.31172562,-0.9305303,-30.278059,-45.41198,-7.12742,17.621616,39.782455,-94.16071,0.048843753,0.46407747,-0.8844469,-18.163588,-25.635687,-11.303126,30.988598,17.450775,-78.542076,0.04908629,0.48131776,-0.8751707,-19.81087,-19.230543,-9.139121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f
60,5339029,0,10,198.5491,112.275406,299.48584,-0.4639864,0.042334847,-0.8848302,51.768414,134.3559,30.678963,-0.47543055,0.08271634,-0.87585604,-0.55401087,-0.95383394,0.4420885,-51.58836,0.5492096,11.733742,-0.8596471,-0.068706565,-0.5062472,8.415687,-21.121597,1.4905653,-82.353966,25.684753,-39.455025,-0.98299116,-0.009089947,-0.18342787,0.6907146,2.5829916,0.080705166,-20.784391,5.3130493,30.399456,0.48744783,-0.086506225,0.8688563,-0.9930098,-3.7030973,0.34662357,-14.998173,-8.287727,30.425274,0.5017282,0.06434168,0.8626291,-0.17214176,-7.357703,0.060516868,-15.286621,-19.06617,23.170914,0.4179717,0.288581,0.8614062,-0.13704878,-9.444457,1.8259761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,g
70,6350527,0,10,206.98357,62.645058,269.80832,-0.4144822,0.25998822,-0.8721299,62.641197,138.3784,-1.1306092,-0.58751976,-0.007296501,-0.8091769,-6.224426,1.2813956,-2.0174494,-45.177376,-11.785294,17.770424,-0.83861995,-0.4143038,-0.3536509,-3.4093895,-6.985514,0.9817176,-90.68648,20.828674,-7.4057603,-0.9794613,-0.04383165,0.19681042,-5.237071,-6.936887,6.6343246,-98.12401,6.537628,-3.1892653,-0.9691275,0.049901344,0.24145757,-4.3233,0.7660428,0.40796283,-23.37732,-6.973419,30.586428,0.38002235,0.17625123,0.90803003,-9.8298,-2.2800906,-5.498949,-21.355282,-18.29496,23.618906,0.28037146,0.4975945,0.82084805,-5.9598975,-1.9915633,-4.4918814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,h
80,1845400,0,10,199.36827,170.2604,279.0954,-0.5401369,-0.15329406,-0.8274981,31.46108,143.80899,14.96127,-0.3956867,0.40557873,-0.82397693,-1.2712237,-3.8340502,-1.8533919,-35.435787,-7.728119,-19.20374,-0.29763788,0.4242076,-0.8552541,-0.6064859,-5.183104,-2.1773708,7.997244,-42.486305,-10.310045,0.6049854,-0.3996092,0.6886981,-1.263693,-3.8947568,-1.3853351,17.628355,-42.32875,-6.610648,0.42769402,-0.5254354,0.73552394,-1.2695034,-3.8507395,-1.3237513,25.13259,-34.378365,-59.21212,0.32751182,-0.89821273,-0.29317224,-1.1108861,-4.415801,-1.4607204,9.478746,35.606903,-75.43936,-0.2324105,0.06485851,-0.97045285,-2.060958,-2.1433702,-1.5807853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,i
90,3006991,0,10,174.95699,146.7219,296.4754,-0.44727996,-0.023315279,-0.89409006,30.2762,166.4502,21.156313,-0.39509887,0.6066622,-0.68982446,2.9717526,3.8405094,-0.88801396,-21.665071,-14.028641,-24.231293,-0.1489936,0.4688884,-0.8706001,4.233598,3.8442247,-1.4755862,-0.8202038,-40.33132,-18.213428,0.5905399,-0.6096114,0.5288068,2.1943622,3.323261,0.27624097,8.771351,-42.10051,-16.155878,0.39603236,-0.7172129,0.57337946,2.0530403,3.0496771,0.67214906,12.6488,-25.462082,-67.6299,0.13235693,-0.8608452,-0.49135235,4.522741,1.3292418,0.33360964,16.265919,45.069077,-72.062805,-0.18339886,0.25436434,-0.9495597,8.2206135,0.8438501,-2.0775347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,j
100,3238657,0,10,188.89778,124.92249,305.09683,-0.5401644,0.057803717,-0.839572,25.047382,172.22266,45.488422,-0.25957838,0.6868925,-0.67882085,-6.3033266,0.81822246,-17.94978,-14.85747,-14.590271,-55.102623,-0.1493398,0.33761716,-0.9293612,22.755291,-6.406361,-18.244326,-64.69664,44.325912,-74.12361,-0.4377182,0.36892918,-0.8199354,-0.5300617,-7.1741295,-29.88925,-17.39503,47.63994,-97.235596,-0.09264195,0.2948427,-0.9510443,6.901409,-16.348543,-29.27319,10.339333,-35.608963,-9.603825,0.111326836,-0.7277918,0.6767019,-6.0971236,-0.06391085,-11.744954,18.97173,-25.232101,-11.631023,-0.18807843,-0.7092484,0.67940646,-5.571979,-1.6224244,-15.983002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,k
110,7859849,0,10,189.68843,157.19196,294.79913,-0.51282996,-0.07817666,-0.8549233,33.18697,181.24657,47.758755,-0.2654723,0.90960115,-0.3196095,-4.5298586,-4.190767,-5.487005,-95.31176,-23.545929,5.877205,-0.92788976,0.36684448,-0.06667585,-10.925308,1.9125806,-1.0749737,-37.79811,46.189926,-77.62473,-0.08074325,0.32759443,-0.941362,-2.2256527,3.5070286,-2.6240487,-2.1081104,-28.658508,-26.967398,0.22958101,-0.91783154,0.32384843,-9.964629,-3.4496126,-4.1894274,11.47538,-27.19574,-23.250662,0.06470814,-0.95384353,0.29324973,-9.714434,-7.671406,-5.947849,24.336311,-17.389679,-21.93028,-0.056948543,-0.97583115,0.21097495,-6.94864,-10.343008,-8.850874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,l
120,636265,0,10,168.95222,90.210785,265.86102,-0.44966748,0.33049336,-0.82980317,42.02031,194.50711,31.555569,-0.26583123,0.6056003,-0.75005466,-6.29068,-0.11636575,-4.556323,-13.722618,-28.419373,-45.375443,0.1839744,0.040086243,-0.9821133,-4.0259147,2.3620713,-5.0288954,-20.352648,-40.082626,-18.204086,0.334014,-0.87592036,0.34813535,-4.135362,-1.1901386,-4.173321,-12.441782,-45.422806,-20.075317,0.15460186,-0.905105,0.3960848,-2.5910075,-0.9699033,-2.3647995,0.21039581,-43.46724,-20.28666,-0.029528594,-0.91616064,0.399722,-4.4295654,0.5748451,-5.559875,16.434792,-14.452286,-70.19182,-0.26247445,-0.4400414,-0.85876113,-5.354126,1.1782207,-4.5094385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,m
130,3165940,0,10,159.66594,113.34978,271.70667,-0.423678,0.1989425,-0.88369614,40.15999,183.19977,21.979849,-0.23929907,0.54030544,-0.80672544,-17.273373,-8.047144,-19.902565,-23.715542,-30.00296,-36.932083,0.034351084,-0.014199147,-0.99930894,-20.158514,-31.223976,6.109899,-34.147274,-33.478928,-45.4961,0.023383208,-0.9781066,-0.20678656,-27.026428,-38.33058,13.842023,-26.574049,-38.14543,-50.570248,-0.13100027,-0.97935045,-0.15398589,-22.572826,-40.010395,30.760216,-10.757229,-49.169586,-51.127846,-0.2855609,-0.8996099,-0.3303891,-29.192337,-49.37112,26.355057,5.9609833,-36.59082,-49.024384,-0.4409062,-0.79115665,-0.42387834,-29.878448,-42.50565,4.8715725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,n
140,4768022,0,10,203.6156,83.87553,233.543,-0.5002928,0.21475962,-0.8388,64.48517,167.6383,3.367349,-0.29298085,0.62644815,-0.72230524,0.09917587,0.8301806,-0.51236796,-58.044678,-10.750366,-6.656687,-0.64061517,-0.026628124,-0.76740026,0.8803215,0.2648309,-0.6417646,-64.002426,14.933197,-15.765667,-0.82922214,-0.55485004,0.06732073,0.4666028,0.9907908,-2.0637593,-66.65309,9.241928,-21.312729,-0.8674821,-0.4555547,0.19986159,0.18249041,0.650522,-0.8302218,-53.707485,-9.53743,-26.820574,-0.84218335,-0.43627432,0.3168469,0.80670244,-1.3110381,1.4958951,-37.616974,-19.333221,-36.59342,-0.9408979,-0.21106875,0.26487958,0.31235382,-0.4927124,1.2321426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,o
150,2999533,0,10,203.08804,235.21112,238.05649,-0.6172601,-0.26272336,-0.74159724,38.143112,173.48254,31.343988,-0.4250046,0.040081035,-0.9043034,-1.2650115,-7.5349774,10.57152,-17.590683,-41.401535,-19.991718,-0.057287134,-0.4393379,-0.8964934,137.0347,-44.005814,-8.303999,-49.9769,-16.462723,-70.698944,-0.31800756,-0.31424955,-0.8944934,-0.24923845,-7.9187226,8.679122,-20.352556,-71.22524,-20.887768,-0.0914651,-0.9956178,0.01947669,-16.15967,-11.41974,36.46594,10.481064,-33.27925,10.479376,0.23285538,-0.25156087,0.9394123,-9.754017,-6.1011953,24.428621,19.521297,-27.910889,1.5789165,0.06783517,-0.28049156,0.95745647,-2.2878537,5.08763,33.290947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,p
160,687539,0,10,144.59521,215.70541,248.27649,-0.39500237,-0.028774511,-0.91822934,25.394392,185.12833,-12.126046,-0.37970668,-0.38308173,-0.84206367,-3.5592813,-1.2726083,1.4151613,-30.37014,-63.258675,14.493344,-0.38890082,-0.81303555,-0.43327743,0.89535624,-5.3449454,1.1376106,-34.853287,-79.458725,-27.531029,-0.0037205971,-0.98691267,-0.1612128,-3.658008,-1.681176,-1.230274,14.006823,-38.560562,30.596329,0.43016812,0.0134319,0.90264887,-1.5967611,-3.3977993,-1.6927633,24.283098,-32.393967,26.082954,0.29395047,-0.050049145,0.9545094,-1.7431955,-2.1690073,-1.3363832,27.175978,-24.806442,14.40607,0.018894134,-0.110517465,0.99369454,-2.3993144,-1.2143954,-0.9145884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,q
