id,time,cur_frame,total_frames,rarm_pos_x,rarm_pos_y,rarm_pos_z,rarm_yaw,rarm_roll,rarm_pitch,rhand_pos_x,rhand_pos_y,rhand_pos_z,rhand_yaw,rhand_roll,rhand_pitch,rhand_vel_x,rhand_vel_y,rhand_vel_z,rfinger1_pos_x,rfinger1_pos_y,rfinger1_pos_z,rfinger1_yaw,rfinger1_roll,rfinger1_pitch,rfinger1_vel_x,rfinger1_vel_y,rfinger1_vel_z,rfinger2_pos_x,rfinger2_pos_y,rfinger2_pos_z,rfinger2_yaw,rfinger2_roll,rfinger2_pitch,rfinger2_vel_x,rfinger2_vel_y,rfinger2_vel_z,rfinger3_pos_x,rfinger3_pos_y,rfinger3_pos_z,rfinger3_yaw,rfinger3_roll,rfinger3_pitch,rfinger3_vel_x,rfinger3_vel_y,rfinger3_vel_z,rfinger4_pos_x,rfinger4_pos_y,rfinger4_pos_z,rfinger4_yaw,rfinger4_roll,rfinger4_pitch,rfinger4_vel_x,rfinger4_vel_y,rfinger4_vel_z,rfinger5_pos_x,rfinger5_pos_y,rfinger5_pos_z,rfinger5_yaw,rfinger5_roll,rfinger5_pitch,rfinger5_vel_x,rfinger5_vel_y,rfinger5_vel_z,larm_pos_x,larm_pos_y,larm_pos_z,larm_yaw,larm_roll,larm_pitch,lhand_pos_x,lhand_pos_y,lhand_pos_z,lhand_yaw,lhand_roll,lhand_pitch,lhand_vel_x,lhand_vel_y,lhand_vel_z,lfinger1_pos_x,lfinger1_pos_y,lfinger1_pos_z,lfinger1_yaw,lfinger1_roll,lfinger1_pitch,lfinger1_vel_x,lfinger1_vel_y,lfinger1_vel_z,lfinger2_pos_x,lfinger2_pos_y,lfinger2_pos_z,lfinger2_yaw,lfinger2_roll,lfinger2_pitch,lfinger2_vel_x,lfinger2_vel_y,lfinger2_vel_z,lfinger3_pos_x,lfinger3_pos_y,lfinger3_pos_z,lfinger3_yaw,lfinger3_roll,lfinger3_pitch,lfinger3_vel_x,lfinger3_vel_y,lfinger3_vel_z,lfinger4_pos_x,lfinger4_pos_y,lfinger4_pos_z,lfinger4_yaw,lfinger4_roll,lfinger4_pitch,lfinger4_vel_x,lfinger4_vel_y,lfinger4_vel_z,lfinger5_pos_x,lfinger5_pos_y,lfinger5_pos_z,lfinger5_yaw,lfinger5_roll,lfinger5_pitch,lfinger5_vel_x,lfinger5_vel_y,lfinger5_vel_z,sign
0,4397452,0,20,15.468634,39.301147,274.3041,0.0030808835,0.4933134,-0.86984617,3.7584743,215.3435,7.8301625,-0.07095446,0.81052893,-0.58138484,-2.2985399,0.42579696,-8.58919,-28.285557,-11.40123,-38.54377,0.054117877,0.29316235,-0.95452976,-5.815748,-2.0555708,-6.758331,-53.299408,-22.88385,-53.077145,-0.29410997,-0.8176054,-0.49499577,-13.323773,16.175688,-9.72876,-48.39939,-33.114624,-57.452206,-0.47772285,-0.8042106,-0.35359046,-9.588181,2.4996157,0.46624643,-16.167027,-42.0681,-26.076954,-0.26464096,-0.9088256,0.32249224,-5.5688567,6.118537,-3.376849,-4.494261,-32.297897,-28.259203,-0.5904325,-0.720112,0.36445585,-4.242754,2.2568307,-2.5995195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a
1,65534814,1,20,15.322542,38.89249,273.9731,0.0035896858,0.4948446,-0.8689741,3.6892529,215.28366,7.6712637,-0.07207178,0.8093715,-0.58285797,-1.094105,-0.5618904,-3.2472253,-28.346897,-11.576187,-38.430416,0.050788634,0.29197896,-0.95507526,-2.903888,-1.6016089,-1.4478674,-53.211372,-23.236984,-52.669098,-0.289398,-0.8257292,-0.48416948,1.6437302,-8.095134,6.9394464,-48.446686,-33.227005,-57.239746,-0.47737655,-0.80638313,-0.3490815,-2.7602327,-0.68527097,0.5207554,-15.984811,-41.82553,-25.643295,-0.26269433,-0.90511334,0.33430752,0.27337286,5.5710163,4.3555803,-4.2780504,-32.226425,-27.92891,-0.58487946,-0.71906847,0.3753086,2.1884792,1.7188917,1.5511056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a
2,116485879,2,20,15.185231,38.48891,273.68857,0.004186366,0.49671754,-0.86790216,3.7070491,215.2607,7.5102854,-0.07222262,0.80735797,-0.5856253,-0.01166534,-0.20725521,-2.5415351,-28.409357,-11.553375,-38.32759,0.04636129,0.2955935,-0.95418817,-5.357179,6.805561,1.5796942,-52.940056,-23.672714,-52.531116,-0.28385514,-0.83156043,-0.4774238,5.104396,-8.557742,0.59641945,-48.23268,-33.491974,-57.196213,-0.47467944,-0.80919725,-0.34623578,3.7842286,-4.3516026,-1.7171971,-15.683337,-41.681885,-25.230263,-0.260858,-0.9013774,0.34564716,4.6025834,4.0641155,3.9007318,-3.941104,-32.20041,-27.614681,-0.58069116,-0.71801645,0.38373187,6.3927794,1.3956232,2.2050033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a
3,166540579,3,20,15.512673,38.37639,272.95233,0.0018594429,0.4991809,-0.8664958,3.4637315,215.75725,7.05617,-0.0712064,0.8066056,-0.5867854,-4.536878,8.997349,-9.070885,-28.299576,-11.513306,-38.196705,0.04648689,0.29943553,-0.9529834,-2.442498,10.170949,-5.5124674,-52.670456,-23.812622,-52.7057,-0.28018275,-0.83286524,-0.47731864,0.19637783,5.5873866,-10.932486,-47.916473,-33.631683,-57.323483,-0.47147927,-0.81102973,-0.34632084,0.62591374,6.00207,-10.434162,-15.340954,-41.50186,-24.974754,-0.2590128,-0.89895064,0.3532706,0.7486438,13.21082,-3.932355,-3.5626056,-32.110947,-27.387627,-0.5774861,-0.7176186,0.38927284,2.451384,10.60196,-3.9537268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a
4,216620450,4,20,16.008942,38.76657,272.94965,-1.399296E-4,0.49863595,-0.8668115,3.5395226,215.96597,6.875969,-0.06894594,0.8055199,-0.58854413,1.2675258,5.0783734,-4.326081,-28.247091,-11.630402,-38.108616,0.0473851,0.29682687,-0.9537549,3.3160257,1.920844,-1.7101569,-52.704815,-23.812057,-52.58831,-0.28157577,-0.8343867,-0.473829,1.1620411,4.28739,-1.3204212,-48.00183,-33.616257,-57.221638,-0.47358078,-0.81086165,-0.34383816,-0.13449433,5.248975,-2.2592065,-15.304798,-41.30925,-24.6581,-0.2593577,-0.8955471,0.3615647,2.0854344,9.910349,1.2527988,-3.425868,-32.05699,-27.059427,-0.57425004,-0.7144935,0.39966974,5.166224,6.6082387,2.9266496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a
5,266672819,5,20,15.333286,40.633125,274.3861,0.0052862894,0.4921057,-0.8705194,4.0268445,215.596,6.8083653,-0.074707545,0.7982169,-0.5977195,10.412063,-10.793017,-0.8554529,-27.902351,-12.530121,-37.99749,0.047474574,0.28491876,-0.9573753,17.943338,-28.939825,0.8209409,-52.339172,-24.900925,-52.35538,-0.2720395,-0.8434609,-0.46321508,22.557125,-38.087124,2.5047047,-47.5677,-34.67227,-56.912674,-0.46549904,-0.81920385,-0.33498603,24.10903,-36.580402,3.9543605,-14.6785755,-41.42122,-23.947613,-0.24932645,-0.8911641,0.37902883,24.857685,-15.049478,12.52095,-2.832877,-32.267456,-26.445206,-0.5633218,-0.7144036,0.41508552,25.180006,-15.960987,11.893206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a
6,316913038,6,20,14.822041,40.04034,274.55115,0.008998161,0.49178982,-0.87066746,4.5614505,214.74191,6.690076,-0.0739297,0.7951348,-0.6019096,8.623178,-12.132632,-4.2599726,-27.809422,-12.733078,-37.96081,0.049026128,0.28094462,-0.95847094,9.50854,-14.851162,-4.0130177,-52.133526,-25.281403,-52.2822,-0.26889133,-0.84739816,-0.45783606,8.404856,-14.165565,-1.7530886,-47.376854,-34.9989,-56.836884,-0.46367776,-0.821654,-0.33149293,7.4810834,-13.628598,-1.820302,-14.487068,-41.319504,-23.75169,-0.2496835,-0.88904345,0.38374457,7.8384247,-7.7851577,-3.0516257,-2.5869431,-32.28743,-26.22477,-0.5624665,-0.7125822,0.41935432,10.11353,-11.259257,-1.6302989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a
7,366994308,7,20,15.146065,39.71394,274.254,0.007628599,0.49214944,-0.8704773,4.6352744,214.59622,6.5052667,-0.07162827,0.79599863,-0.60104537,2.4374745,-5.020064,-3.1846864,-27.896488,-12.681824,-37.906563,0.049708493,0.27993068,-0.9587324,2.0626385,-6.4858346,-2.4847329,-52.298218,-25.051178,-52.159042,-0.27255392,-0.8467408,-0.45688552,1.8615395,-5.360906,-0.8315983,-47.61234,-34.74269,-56.766884,-0.46755558,-0.8196658,-0.33096796,0.925513,-4.3580203,-1.7870939,-14.635042,-40.966614,-23.838911,-0.25398353,-0.888531,0.38210592,1.7669582,0.20867921,-5.317493,-2.6388178,-32.11693,-26.234655,-0.56489503,-0.71000403,0.42046145,3.3761632,-2.2433784,-3.976067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a
8,417031295,8,20,16.240871,40.770046,272.8601,0.0021337366,0.48634702,-0.87376314,3.8765922,214.54305,4.9671474,-0.0781487,0.8020406,-0.59213483,-18.82043,5.0402412,-32.376625,-28.890488,-12.345062,-37.151634,0.03227183,0.2800023,-0.95945674,-35.926178,9.838493,-17.205297,-54.338593,-23.60617,-50.850533,-0.30227807,-0.83510077,-0.45960274,-65.74077,43.129192,-7.455904,-49.8476,-33.549316,-55.52562,-0.4896729,-0.8100698,-0.32250172,-68.1553,34.671383,-7.0198836,-16.193457,-40.16458,-24.37998,-0.26783776,-0.8918071,0.3646135,-58.167202,22.0278,-56.047108,-3.8151777,-31.701263,-26.436085,-0.5635565,-0.70441186,0.43151826,-45.39907,15.041025,-39.843407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a
9,467333509,9,20,16.882689,41.095222,271.4002,-0.0016812532,0.48528588,-0.87435395,3.2147543,215.46558,4.6728897,-0.08328905,0.81914425,-0.5675083,-16.794678,18.089119,-12.285581,-28.638535,-11.727325,-37.4794,0.032687332,0.30421853,-0.95204127,-14.111769,27.550694,-16.316784,-54.374413,-22.260757,-51.42925,-0.30014127,-0.8217131,-0.48446137,-25.44527,47.036453,-18.030788,-49.8282,-32.089325,-56.379005,-0.48670396,-0.8024228,-0.34530693,-24.357292,47.5011,-22.692547,-15.830396,-39.366608,-25.2484,-0.25456843,-0.9019051,0.34894416,-14.543851,33.6878,-29.070065,-3.733389,-30.863892,-27.442068,-0.5616315,-0.7199682,0.40769586,-20.417225,34.205994,-33.31434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a
10,517303840,10,20,17.397272,40.30611,270.7816,-0.0047499565,0.4871518,-0.87330437,3.5924602,214.34184,2.9065812,-0.07044177,0.8030568,-0.5917244,4.828503,-16.883898,-27.10513,-28.363266,-12.402084,-37.447773,0.04138705,0.28488642,-0.9576674,2.5872386,-18.477354,-24.404215,-53.491028,-23.674652,-51.551426,-0.29293045,-0.837093,-0.462025,19.010477,-37.04122,-29.225367,-48.98384,-33.49588,-56.278984,-0.48382923,-0.8103665,-0.33047757,17.82265,-34.90771,-27.60627,-15.366888,-40.01599,-24.056715,-0.25751975,-0.88899016,0.37865558,14.620363,-26.735853,-6.946623,-3.3179886,-31.599625,-26.518925,-0.5689499,-0.70614755,0.42148745,11.386839,-26.66465,-14.40565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a
11,567501176,11,20,17.427277,39.71118,270.51178,-0.0044472087,0.48798874,-0.8728386,3.8187275,213.60922,2.242546,-0.068438515,0.7971887,-0.5998386,3.1324651,-12.512918,-13.044672,-28.173592,-12.495468,-37.35804,0.044268895,0.2840674,-0.9577818,4.180312,-10.213392,-10.502111,-52.797455,-24.489365,-51.82025,-0.28303257,-0.8437891,-0.45597425,15.056813,-26.602482,-17.291842,-48.218605,-34.26712,-56.45561,-0.47611696,-0.81606257,-0.32765,15.8694725,-25.19305,-16.117094,-14.725615,-40.287857,-23.60441,-0.25110793,-0.8859125,0.39000496,14.70701,-17.762327,-3.0759919,-2.752648,-31.81932,-26.100262,-0.56577563,-0.7049651,0.42769396,12.484716,-16.87747,-4.811101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a
