id,time,cur_frame,total_frames,arm_pos_x,arm_pos_y,arm_pos_z,arm_yaw,arm_roll,arm_pitch,hand_pos_x,hand_pos_y,hand_pos_z,hand_yaw,hand_roll,hand_pitch,hand_vel_x,hand_vel_y,hand_vel_z,finger1_pos_x,finger1_pos_y,finger1_pos_z,finger1_yaw,finger1_roll,finger1_pitch,finger1_vel_x,finger1_vel_y,finger1_vel_z,finger2_pos_x,finger2_pos_y,finger2_pos_z,finger2_yaw,finger2_roll,finger2_pitch,finger2_vel_x,finger2_vel_y,finger2_vel_z,finger3_pos_x,finger3_pos_y,finger3_pos_z,finger3_yaw,finger3_roll,finger3_pitch,finger3_vel_x,finger3_vel_y,finger3_vel_z,finger4_pos_x,finger4_pos_y,finger4_pos_z,finger4_yaw,finger4_roll,finger4_pitch,finger4_vel_x,finger4_vel_y,finger4_vel_z,finger5_pos_x,finger5_pos_y,finger5_pos_z,finger5_yaw,finger5_roll,finger5_pitch,finger5_vel_x,finger5_vel_y,finger5_vel_z,sign
0,1404722816,0,10,20.383152,-27.830912,243.35216,-0.08395973,0.64046425,-0.7633848,-3.2175117,174.59277,22.814354,0.11080642,0.81690484,-0.5660286,4.342638,-5.872681,-2.0361319,-55.176064,2.8969269,-44.371956,-0.21903627,0.40089586,-0.8895536,-26.799671,43.418716,18.455284,-45.662968,4.7191772,-54.611115,-0.4659127,-0.68910074,-0.55503654,-0.26941392,10.817387,3.0945764,-28.061504,-25.192627,-19.889072,-0.20896217,-0.8902275,0.40475896,-15.414545,-12.540682,2.2169087,-16.987686,-35.37442,-16.913446,-0.35183537,-0.8142842,0.46168506,-11.612629,1.4592885,-2.695532,-5.3524365,-28.822128,-19.377476,-0.61885726,-0.5911751,0.5172308,-8.582967,-4.3240986,-1.5408764,num0
1,1505612190,1,10,65.151405,36.65501,276.19574,-0.28227162,0.41295898,-0.8659028,-7.7959385,176.84016,23.630665,0.109619066,0.67673486,-0.7280203,-87.933044,53.530235,104.7779,-65.2578,19.231277,-24.86099,-0.398413,0.4298981,-0.81021893,-192.24106,274.7322,400.38406,-57.19536,8.128128,-41.86138,-0.7308015,-0.6237528,-0.27723917,-263.49466,95.381874,315.67596,-37.816757,-21.229248,-6.5183277,-0.27533373,-0.74814117,0.6037186,-219.6663,125.04572,326.69794,-28.026388,-31.816345,-5.6641273,-0.37941003,-0.6325205,0.6752524,-238.70316,109.82136,298.2285,-15.918577,-29.204193,-11.269608,-0.5415103,-0.35261163,0.7631721,-238.64154,51.586063,245.05824,num0
2,1605815422,2,10,66.71259,39.83352,299.41293,-0.34037757,0.5015389,-0.7953627,-28.345074,205.12895,69.2173,-0.033526644,0.7683026,-0.63920814,-189.7019,289.51965,529.33527,-72.53459,27.163834,0.15137482,-0.5462111,0.63289124,-0.5487277,-280.66602,343.62894,762.60815,-49.149914,-14.823608,-19.099487,-0.29774675,-0.94269216,0.15059344,-51.09567,113.94957,579.3335,-43.530437,-24.045776,-22.62194,-0.40920797,-0.88359684,0.22760823,-270.10556,302.92697,164.24365,-27.568611,-32.557724,-20.344437,-0.4560968,-0.80304193,0.3835353,-212.30405,308.18,197.26959,-12.254158,-29.43283,-19.650291,-0.5936765,-0.55823946,0.5795834,-157.57358,312.54367,312.26,num0
3,1706671234,3,10,57.744232,73.31302,344.6835,-0.37170845,0.4797416,-0.7947835,-46.0291,234.56625,116.86853,-0.047067534,0.82084095,-0.56921417,-176.43053,275.06305,424.05728,-86.14232,10.074585,-2.638939,-0.7014362,0.5289443,-0.4777082,-310.15442,65.28433,337.23358,-47.696594,3.558319,-47.398857,-0.43025059,-0.738685,-0.5188727,-131.77235,499.47128,137.39874,-43.049553,-0.73358154,-56.81735,-0.5733354,-0.6828215,-0.45281485,-133.85149,536.269,100.73622,-24.593697,-8.67952,-59.484325,-0.64964783,-0.62654227,-0.43058392,-81.2281,535.09814,86.06977,-4.930744,-16.182892,-51.235954,-0.80098855,-0.5126381,-0.3092241,-37.31748,425.32397,127.30599,num0
4,1806661446,4,10,62.351627,88.99533,361.1342,-0.40338477,0.4583419,-0.7919617,-49.96446,244.63828,133.90848,-0.06188438,0.8343652,-0.54772717,13.813193,42.449207,93.54683,-85.5296,-3.7410736,-19.161469,-0.6619173,0.42847532,-0.6150401,84.56733,-60.229935,-98.60343,-39.00974,21.126068,-64.424,-0.28819707,-0.36077616,-0.8870079,76.295006,163.11832,-7.3830366,-35.064716,12.68689,-73.086,-0.4606195,-0.44079667,-0.7704077,71.708565,64.22002,11.71501,-14.0673485,6.170227,-72.95862,-0.50047374,-0.39778316,-0.76895684,70.170044,112.58885,26.499247,6.260414,0.17808533,-63.053345,-0.58828914,-0.29052448,-0.75465983,89.90897,188.56433,16.652458,num0
5,1907558744,5,10,69.55954,73.26652,351.90253,-0.32109994,0.50949615,-0.798316,-21.52615,235.9439,116.04727,-0.050644584,0.7222173,-0.68980956,324.534,-116.03513,-250.87602,-67.99718,-13.344162,-36.77186,-0.384782,0.22567175,-0.89499444,511.09515,-169.41946,-377.04626,-37.88497,12.475784,-71.044266,-0.26951388,-0.44152403,-0.8558147,298.74817,-214.1944,-282.59927,-34.035954,-1.0875092,-76.51897,-0.44512436,-0.5609409,-0.698004,294.64685,-226.25473,-251.45724,-14.258186,-5.163498,-75.49777,-0.49016765,-0.4830807,-0.72551274,284.0402,-206.68935,-256.6107,6.961693,-8.89447,-64.14857,-0.566294,-0.37321445,-0.7348619,285.3649,-211.32454,-252.28061,num0
6,2008593083,6,10,79.2416,54.884914,326.1701,-0.21043034,0.5401467,-0.8148378,14.402665,223.72601,85.20105,-0.07874005,0.6833318,-0.7258496,361.11453,-46.162262,-326.4251,-54.971554,-18.6949,-40.44243,-0.25889525,0.11125225,-0.95947707,453.54578,-188.19467,-346.89926,-48.080563,-0.51600647,-62.8897,-0.39374238,-0.6680012,-0.6314597,245.29695,-344.20905,-161.2022,-41.719467,-7.178238,-71.01482,-0.53530437,-0.63949686,-0.55180883,321.5642,-181.16113,-245.66614,-22.00013,-9.369034,-73.29785,-0.58257526,-0.51919687,-0.6253324,346.20966,-64.75223,-311.719,-1.8216534,-13.870148,-62.724136,-0.6789416,-0.4218984,-0.6008661,350.2258,-0.6025045,-326.1336,num0
7,2108881151,7,10,78.293724,63.1066,313.71848,-0.11606452,0.40271583,-0.90793663,39.465935,197.54117,48.771645,-0.038291093,0.6319874,-0.7740321,230.25668,-250.00789,-277.2188,-56.3909,-9.956863,-30.051643,-0.35314226,0.07818068,-0.93229735,211.74275,-130.09709,-213.99554,-60.088238,1.9263916,-41.53164,-0.674966,-0.7028269,-0.22462243,172.03152,-168.71506,-102.174706,-57.652122,-10.09082,-44.186466,-0.7553741,-0.653903,-0.042671334,133.21492,-149.05444,-123.41145,-42.44456,-12.418549,-57.7515,-0.8510848,-0.46604073,-0.24178638,85.69574,-237.81017,-110.997314,-20.717182,-16.583405,-57.591164,-0.9045379,-0.2421388,-0.3509701,100.298004,-241.85129,-229.16115,num0
8,2208851785,8,10,81.82047,64.746956,305.12485,-0.110879436,0.37324795,-0.92108184,44.8982,191.49207,36.46464,-0.03148159,0.61294335,-0.78949946,38.85278,-47.75946,-93.356224,-53.285606,-12.403946,-27.540861,-0.350229,0.014242755,-0.9365558,64.785774,-73.22128,-57.84674,-61.333813,2.0424194,-33.565002,-0.70596623,-0.705271,-0.06484197,35.908382,-55.504883,-14.168719,-60.552937,-6.674637,-40.563683,-0.8081922,-0.5888223,0.010663691,19.1978,-13.990439,-71.78251,-45.844143,-17.620499,-43.738667,-0.8506152,-0.52393526,0.04410877,22.587894,-64.30993,-8.349946,-25.108816,-22.533188,-47.703735,-0.954456,-0.2962234,-0.035573762,11.024831,-94.041336,2.0030105,num0
9,2309406012,9,10,81.83161,61.93473,302.46213,-0.11760672,0.38318738,-0.9161529,43.62068,192.33841,36.001026,-0.025219906,0.63353425,-0.7733035,-27.362085,25.899126,3.3388507,-52.043842,-12.5816345,-25.857143,-0.35188028,0.027932191,-0.9356282,-20.431736,32.784,19.732643,-61.442482,3.2348328,-31.254335,-0.71369654,-0.69883704,-0.047582265,-31.37295,45.83996,21.30865,-61.134426,-4.1748962,-39.912796,-0.8233995,-0.5674519,0.0034048224,-35.394516,54.552853,11.260891,-46.14857,-16.763306,-41.12268,-0.84626,-0.5254709,0.08788787,-31.694635,38.10131,28.334549,-26.245953,-22.42331,-44.765156,-0.9541665,-0.2951218,0.049693562,-42.544163,37.078426,28.061707,num0
