id,time,cur_frame,total_frames,rarm_pos_x,rarm_pos_y,rarm_pos_z,rarm_yaw,rarm_roll,rarm_pitch,rhand_pos_x,rhand_pos_y,rhand_pos_z,rhand_yaw,rhand_roll,rhand_pitch,rhand_vel_x,rhand_vel_y,rhand_vel_z,rfinger1_pos_x,rfinger1_pos_y,rfinger1_pos_z,rfinger1_yaw,rfinger1_roll,rfinger1_pitch,rfinger1_vel_x,rfinger1_vel_y,rfinger1_vel_z,rfinger2_pos_x,rfinger2_pos_y,rfinger2_pos_z,rfinger2_yaw,rfinger2_roll,rfinger2_pitch,rfinger2_vel_x,rfinger2_vel_y,rfinger2_vel_z,rfinger3_pos_x,rfinger3_pos_y,rfinger3_pos_z,rfinger3_yaw,rfinger3_roll,rfinger3_pitch,rfinger3_vel_x,rfinger3_vel_y,rfinger3_vel_z,rfinger4_pos_x,rfinger4_pos_y,rfinger4_pos_z,rfinger4_yaw,rfinger4_roll,rfinger4_pitch,rfinger4_vel_x,rfinger4_vel_y,rfinger4_vel_z,rfinger5_pos_x,rfinger5_pos_y,rfinger5_pos_z,rfinger5_yaw,rfinger5_roll,rfinger5_pitch,rfinger5_vel_x,rfinger5_vel_y,rfinger5_vel_z,larm_pos_x,larm_pos_y,larm_pos_z,larm_yaw,larm_roll,larm_pitch,lhand_pos_x,lhand_pos_y,lhand_pos_z,lhand_yaw,lhand_roll,lhand_pitch,lhand_vel_x,lhand_vel_y,lhand_vel_z,lfinger1_pos_x,lfinger1_pos_y,lfinger1_pos_z,lfinger1_yaw,lfinger1_roll,lfinger1_pitch,lfinger1_vel_x,lfinger1_vel_y,lfinger1_vel_z,lfinger2_pos_x,lfinger2_pos_y,lfinger2_pos_z,lfinger2_yaw,lfinger2_roll,lfinger2_pitch,lfinger2_vel_x,lfinger2_vel_y,lfinger2_vel_z,lfinger3_pos_x,lfinger3_pos_y,lfinger3_pos_z,lfinger3_yaw,lfinger3_roll,lfinger3_pitch,lfinger3_vel_x,lfinger3_vel_y,lfinger3_vel_z,lfinger4_pos_x,lfinger4_pos_y,lfinger4_pos_z,lfinger4_yaw,lfinger4_roll,lfinger4_pitch,lfinger4_vel_x,lfinger4_vel_y,lfinger4_vel_z,lfinger5_pos_x,lfinger5_pos_y,lfinger5_pos_z,lfinger5_yaw,lfinger5_roll,lfinger5_pitch,lfinger5_vel_x,lfinger5_vel_y,lfinger5_vel_z,sign
0,666563,0,10,79.5348,-18.982958,271.17206,-0.16003522,0.67256516,-0.7225267,14.934835,202.24823,53.898273,-0.2692454,0.85914075,-0.4351828,-9.261806,-7.5962667,-9.18965,-47.080376,2.8787842,-34.565548,-0.30042282,0.6293672,-0.716689,-2.0311863,-26.762056,-8.98423,-19.779346,-33.59488,-27.982372,0.38401622,-0.91276103,0.1392799,-6.6312246,-15.938976,-6.9045305,-10.881176,-39.25534,-28.28638,0.191888,-0.95069396,0.24363908,1.0440794,-16.002724,11.539359,3.8000984,-38.270416,-29.11372,0.05012883,-0.97497237,0.21660098,2.529263,-12.8417425,15.969715,16.499525,-28.021698,-28.430593,-0.111053035,-0.97226053,0.20585592,1.3358151,-11.398715,6.8827996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a
1,50270028,1,10,77.22096,-20.395216,268.36066,-0.1566163,0.68090355,-0.7154311,13.604369,202.98482,52.793392,-0.26778036,0.85777175,-0.43877256,-24.255789,11.183055,-19.355253,-47.54232,3.459549,-33.986122,-0.29844373,0.6328505,-0.71444494,-32.098732,20.562962,-11.869826,-19.868763,-33.635544,-27.995874,0.38200724,-0.91353375,0.13973746,-24.335108,10.278662,-21.34305,-10.835572,-39.339706,-27.927761,0.19250913,-0.9482959,0.25233936,-21.291674,10.067758,-13.38968,4.074767,-38.2619,-28.14624,0.058064386,-0.96830904,0.24291185,-14.973879,13.611138,2.5835094,16.829487,-28.07373,-27.961725,-0.099013835,-0.96940744,0.22460082,-14.074867,12.784092,-6.897993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a
2,100745152,2,10,77.40648,-23.304846,267.48798,-0.15819922,0.6847752,-0.7113761,12.708344,200.52864,52.62712,-0.28192398,0.85015583,-0.44469538,-19.740583,-37.703976,-5.649518,-46.605614,2.6622162,-34.189144,-0.29574668,0.62850213,-0.7193879,1.5056906,-48.4414,-6.938212,-18.917439,-34.135605,-28.124296,0.3997805,-0.9050559,0.14508423,-2.8455489,-46.099327,-9.245107,-9.778946,-39.626755,-28.06582,0.20896189,-0.9454273,0.2500042,-1.2168502,-42.304905,-10.887782,5.3500166,-38.189407,-27.296831,0.08103063,-0.96118146,0.2637503,5.3850236,-34.37216,16.16969,17.947449,-27.738754,-27.393347,-0.07138125,-0.9684255,0.23886545,2.5138392,-29.49032,7.7047834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a
3,150511762,3,10,77.82303,-24.555279,266.97894,-0.16060795,0.68691534,-0.70876825,11.94853,199.15819,52.186,-0.2933122,0.8399833,-0.4565041,-15.067873,-25.410603,-9.254002,-45.768547,2.3535614,-33.88349,-0.30082956,0.6263498,-0.71915746,3.7454648,-27.607197,-1.2533685,-18.228329,-34.75743,-27.885727,0.41346812,-0.8969489,0.15661043,-2.2417269,-37.30041,-4.70485,-9.529762,-40.193985,-29.326607,0.20903313,-0.954112,0.21441895,-11.982778,-37.542965,-37.582104,6.3195457,-38.30995,-26.152842,0.099450774,-0.9516351,0.29068908,3.2266343,-26.845787,12.446806,18.80677,-27.675293,-26.601261,-0.049024876,-0.9636149,0.2627601,1.4607205,-23.16596,7.1407366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a
4,200891330,4,10,76.67518,-22.76111,268.59708,-0.1563926,0.6816232,-0.71479446,11.437943,198.8638,51.585575,-0.30334935,0.8295057,-0.46893442,-11.653456,-10.274837,-14.240659,-45.562237,2.667328,-32.9678,-0.31118867,0.6271532,-0.71403116,-7.535907,-8.463149,1.5437562,-17.774673,-35.370285,-27.458675,0.42441255,-0.88958484,0.16885749,-1.1396691,-25.416422,-3.1597128,-9.288206,-40.850815,-29.691221,0.21418063,-0.95477206,0.20624502,-6.8716426,-26.950676,-23.293356,6.9260626,-38.53148,-25.359426,0.11318722,-0.94438565,0.30874646,1.931454,-15.953871,4.2398953,19.338928,-27.756256,-25.958687,-0.03306481,-0.9583995,0.2835087,0.7142334,-12.730344,2.68653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a
5,251074658,5,10,75.136566,-20.736591,270.9209,-0.14951876,0.6750206,-0.7224897,11.313427,198.59818,51.43806,-0.31202716,0.8214224,-0.47739324,-2.4383767,-5.17122,-3.1901584,-45.33641,2.3639526,-32.693485,-0.31802514,0.6217567,-0.71573645,1.2422712,-7.665537,2.7124789,-17.343645,-35.8228,-27.190609,0.4341229,-0.8832529,0.17720495,4.52257,-12.609767,1.0685319,-8.67095,-41.242416,-29.068237,0.22891676,-0.9462515,0.22848468,5.5677743,-11.342747,2.0613904,7.5638027,-38.657974,-24.615454,0.12719375,-0.9372308,0.32468474,8.2394,-7.2896967,8.4910755,19.777157,-27.753967,-25.539371,-0.020752117,-0.95499843,0.29588392,4.748645,-5.087178,4.122239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a
6,301584276,6,10,74.59534,-25.988071,264.14664,-0.14735459,0.7005484,-0.6982253,11.377392,200.29962,51.330162,-0.31131595,0.82409024,-0.47324163,0.25623116,30.990871,-4.2963777,-45.32031,2.6921387,-32.5735,-0.31904265,0.62589186,-0.7116679,-0.61255425,38.274506,0.3741413,-17.446692,-35.66075,-27.374187,0.43285275,-0.8849189,0.17192146,-4.5076632,33.90705,-5.69071,-8.282342,-40.80574,-27.85055,0.24190709,-0.9325478,0.26802143,4.011198,39.303806,19.959269,7.539303,-38.51889,-24.653028,0.12747046,-0.9379188,0.32258278,-2.7192183,32.74976,-4.338551,19.750898,-27.643143,-25.627462,-0.020952994,-0.9559007,0.2929415,-2.8123965,31.549301,-6.0906672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a
7,352423446,7,10,73.888725,-23.43947,266.57062,-0.14493744,0.69172204,-0.70746994,11.063232,199.97371,50.75234,-0.3169219,0.81592953,-0.48354885,-4.3974504,0.29578242,-8.272744,-44.827896,2.1880798,-32.56954,-0.32117903,0.61836183,-0.7172675,4.8495674,-6.6142263,-7.200917,-16.977297,-36.110947,-27.10879,0.44045457,-0.8789413,0.18292606,1.738163,-5.587226,-4.9422865,-8.18035,-41.197388,-28.613466,0.23785213,-0.9404519,0.24285078,-6.5797253,-5.882583,-28.030676,8.101131,-38.63347,-24.081982,0.13669784,-0.93216735,0.33522794,3.5421202,-0.06917581,-0.78695184,20.287073,-27.57782,-24.750437,-0.010864825,-0.9473056,0.32014683,2.468309,2.4408665,4.9551783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a
8,402506557,8,10,73.89673,-23.001226,267.0163,-0.14487575,0.6903127,-0.70885783,11.037913,199.95776,50.759655,-0.3180076,0.8147253,-0.48486477,-1.4173366,0.14907198,-1.4075764,-44.702095,2.148819,-32.536232,-0.32292786,0.6174775,-0.71724415,2.5695245,-3.1270843,-1.3438851,-16.907791,-36.17137,-27.094393,0.44177994,-0.8780496,0.1840092,1.1328495,-2.1762664,-0.3769305,-8.141613,-41.323166,-28.730577,0.23833434,-0.94076693,0.241152,1.0688777,-3.588326,-1.7569588,8.336074,-38.509033,-23.695898,0.14221635,-0.9280495,0.34423634,4.6920424,2.8968995,6.976985,20.373287,-27.524734,-24.617092,-0.009673696,-0.94613475,0.32362866,1.0267043,1.7290599,3.2434683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a
9,453216609,9,10,73.40564,-21.824743,267.94284,-0.14308572,0.68758994,-0.7118613,10.980829,200.32039,50.797375,-0.3189556,0.81333584,-0.4865718,-1.4176418,5.58632,-0.2951708,-44.653976,2.0348053,-32.56526,-0.32382566,0.6154531,-0.71857804,-0.52212644,2.521941,-0.976082,-16.834635,-36.24153,-27.070156,0.44302684,-0.87710154,0.18552656,-0.33263692,3.8615172,0.9487423,-7.347489,-40.819717,-26.575022,0.2596815,-0.9160765,0.3055641,13.860045,15.22941,43.13441,8.4869995,-38.46068,-23.5013,0.14511557,-0.92617166,0.34806252,1.3753022,6.892243,4.100847,20.44861,-27.49234,-24.499388,-0.009033305,-0.9452063,0.32634875,-0.7681163,5.887825,1.9173818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a
