id,time,cur_frame,total_frames,rarm_pos_x,rarm_pos_y,rarm_pos_z,rarm_yaw,rarm_roll,rarm_pitch,rhand_pos_x,rhand_pos_y,rhand_pos_z,rhand_yaw,rhand_roll,rhand_pitch,rhand_vel_x,rhand_vel_y,rhand_vel_z,rfinger1_pos_x,rfinger1_pos_y,rfinger1_pos_z,rfinger1_yaw,rfinger1_roll,rfinger1_pitch,rfinger1_vel_x,rfinger1_vel_y,rfinger1_vel_z,rfinger2_pos_x,rfinger2_pos_y,rfinger2_pos_z,rfinger2_yaw,rfinger2_roll,rfinger2_pitch,rfinger2_vel_x,rfinger2_vel_y,rfinger2_vel_z,rfinger3_pos_x,rfinger3_pos_y,rfinger3_pos_z,rfinger3_yaw,rfinger3_roll,rfinger3_pitch,rfinger3_vel_x,rfinger3_vel_y,rfinger3_vel_z,rfinger4_pos_x,rfinger4_pos_y,rfinger4_pos_z,rfinger4_yaw,rfinger4_roll,rfinger4_pitch,rfinger4_vel_x,rfinger4_vel_y,rfinger4_vel_z,rfinger5_pos_x,rfinger5_pos_y,rfinger5_pos_z,rfinger5_yaw,rfinger5_roll,rfinger5_pitch,rfinger5_vel_x,rfinger5_vel_y,rfinger5_vel_z,larm_pos_x,larm_pos_y,larm_pos_z,larm_yaw,larm_roll,larm_pitch,lhand_pos_x,lhand_pos_y,lhand_pos_z,lhand_yaw,lhand_roll,lhand_pitch,lhand_vel_x,lhand_vel_y,lhand_vel_z,lfinger1_pos_x,lfinger1_pos_y,lfinger1_pos_z,lfinger1_yaw,lfinger1_roll,lfinger1_pitch,lfinger1_vel_x,lfinger1_vel_y,lfinger1_vel_z,lfinger2_pos_x,lfinger2_pos_y,lfinger2_pos_z,lfinger2_yaw,lfinger2_roll,lfinger2_pitch,lfinger2_vel_x,lfinger2_vel_y,lfinger2_vel_z,lfinger3_pos_x,lfinger3_pos_y,lfinger3_pos_z,lfinger3_yaw,lfinger3_roll,lfinger3_pitch,lfinger3_vel_x,lfinger3_vel_y,lfinger3_vel_z,lfinger4_pos_x,lfinger4_pos_y,lfinger4_pos_z,lfinger4_yaw,lfinger4_roll,lfinger4_pitch,lfinger4_vel_x,lfinger4_vel_y,lfinger4_vel_z,lfinger5_pos_x,lfinger5_pos_y,lfinger5_pos_z,lfinger5_yaw,lfinger5_roll,lfinger5_pitch,lfinger5_vel_x,lfinger5_vel_y,lfinger5_vel_z,sign
0,1258545,0,80,255.01013,-23.48084,229.83992,-0.5827852,0.5166259,-0.62726325,77.46172,114.20385,19.009407,-0.36067215,0.15570895,-0.91960335,-0.6628122,-1.2473553,1.2640477,-48.87212,-51.535927,-21.35631,-0.4199843,-0.3418643,-0.84067947,-1.5345831,-0.6901972,1.804879,-47.793743,-34.52513,-47.538685,0.054399755,-0.9524544,-0.2997854,-1.2708863,-0.68796635,1.6443874,-32.886585,40.539696,-99.03931,-0.2409149,0.3264654,-0.91399145,-0.65507907,-1.280998,1.2625263,0.15032196,53.937004,-93.01287,-0.11818479,0.48397708,-0.86706316,-1.2580982,-1.8860514,1.0272561,45.280014,46.85839,-73.90217,0.22485039,0.54947376,-0.80468684,-0.2397352,-2.220574,0.8498261,-74.268524,3.6166623,275.909,0.12536894,0.45799568,-0.8800697,-37.037666,122.902054,27.705366,0.019612037,0.32387465,-0.9458967,2.2295618,-1.3229676,0.30263853,43.644985,-29.604767,-35.52097,0.18111141,-0.2027031,-0.96234614,0.53344566,-1.5635979,-0.47797766,36.360775,-21.189156,-40.88186,0.149277,-0.9882744,0.032095414,2.683771,-0.83956313,0.4797667,4.862442,23.365204,-95.29979,0.063585654,0.083537325,-0.99447393,1.780862,-0.69750804,0.4627368,-26.40495,46.384415,-76.39884,-0.13149247,0.54334927,-0.8291449,1.8591341,-0.46813154,0.8646903,-47.47666,33.91281,-52.566574,-0.26916602,0.6585338,-0.70276797,1.9854528,-1.1571548,0.46659115,family
1,50985068,1,80,254.87468,-23.533669,230.2077,-0.58404005,0.5142443,-0.62805253,77.16337,113.451935,19.078281,-0.35827753,0.15527798,-0.92061174,-4.429259,-11.981265,1.0001396,-48.61512,-52.966633,-21.096355,-0.433132,-0.3568153,-0.8276953,-2.5833662,-48.821907,11.243771,-47.324543,-34.759033,-47.829483,0.06350788,-0.9511887,-0.3020047,3.394439,-15.904303,-3.5157285,-32.82366,40.563156,-99.0488,-0.23971757,0.32741582,-0.9139663,-3.0016623,-11.333722,0.87003493,0.04727173,54.172043,-92.87038,-0.11917482,0.48501256,-0.86634874,-6.2862296,-8.440272,3.1995893,45.192368,47.411392,-73.602844,0.22357877,0.5531312,-0.8025325,-5.8090982,-3.2669442,5.7155857,-74.22483,3.192152,275.73492,0.12563354,0.4593882,-0.87930584,-36.92045,122.8331,27.720316,0.019829683,0.32441935,-0.9457055,2.1956003,-1.3415751,0.3118127,43.50608,-29.591743,-35.57953,0.1838461,-0.20060979,-0.96226627,-1.0627892,-1.8642052,-1.0988818,36.406204,-21.135956,-40.876213,0.15010183,-0.988152,0.03201553,3.0138972,-0.7280961,0.79878765,4.832958,23.400955,-95.29137,0.063248865,0.08390027,-0.9944648,1.5602311,-0.60274136,0.5196395,-26.435104,46.403214,-76.38208,-0.13189805,0.5437889,-0.8287922,1.7220662,-0.8711741,0.6910694,-47.513535,33.906464,-52.550415,-0.27029875,0.6589773,-0.701917,1.0368239,-1.264642,0.97130126,family
2,101883902,2,80,254.71788,-23.470337,230.38934,-0.5839911,0.51338273,-0.6288024,77.04477,113.23951,19.047619,-0.35804072,0.15460731,-0.9208167,-2.991678,-5.9815526,-0.39739022,-48.772488,-54.722286,-20.246168,-0.45217305,-0.37669912,-0.8084784,-5.788342,-49.997517,19.331032,-47.20823,-34.839325,-47.87736,0.066235624,-0.9509736,-0.30209625,0.672595,-8.205574,-1.8706867,-32.856632,40.516502,-99.056,-0.23971744,0.32727054,-0.91401833,-3.0169587,-6.5112824,-0.5257574,-0.046531677,54.17559,-92.86365,-0.120089434,0.48448983,-0.8665149,-5.063529,-5.4512877,0.045773216,45.117455,47.51493,-73.579575,0.22253595,0.55306554,-0.80286753,-4.8161917,-2.9645884,0.5414279,-74.1999,2.9221394,275.62473,0.12569958,0.46026334,-0.8788386,-36.87428,122.794624,27.728077,0.019939795,0.32497317,-0.945513,1.2475673,-0.9784699,0.24612688,43.45141,-29.573463,-35.61813,0.18658456,-0.198669,-0.9621418,-0.46424717,-0.9744294,-0.8757749,36.425934,-21.11142,-40.882824,0.15027092,-0.9881288,0.031940438,1.7209855,-0.92229676,0.5011995,4.8059273,23.424248,-95.28407,0.06301978,0.0838989,-0.9944795,0.6874659,-0.42906007,0.46674833,-26.452923,46.438026,-76.35837,-0.13210745,0.5442574,-0.8284513,0.9083542,-0.062407784,0.85860384,-47.549152,33.937187,-52.511154,-0.27132285,0.65979195,-0.70075566,0.11914214,-0.13584746,1.3890138,family
3,152200543,3,80,254.56755,-23.389994,230.57631,-0.58346444,0.5128361,-0.6297368,77.012794,113.15744,18.999445,-0.3585017,0.15432052,-0.92068547,-0.7402344,-1.6502638,-0.62024057,-48.824425,-56.011295,-19.634073,-0.46622077,-0.38939855,-0.79435945,-1.0243728,-25.669947,10.36752,-47.202312,-34.84111,-47.87356,0.06702885,-0.95092183,-0.30208418,0.07749555,-2.0589368,-0.59355426,-32.928093,40.49269,-99.0408,-0.24026455,0.3270666,-0.9139477,-1.5640682,-2.0169559,-0.45161617,-0.15058899,54.155975,-92.86862,-0.12115521,0.48391175,-0.86668956,-2.3810334,-1.9288727,-0.6441244,44.941963,47.453354,-73.6866,0.21902357,0.549947,-0.8059696,-4.800956,-3.0835416,-2.9614959,-74.180664,2.5887024,275.50955,0.12577888,0.46125028,-0.87830967,-36.83625,122.738594,27.75011,0.019937377,0.32597217,-0.9451691,0.7467381,-0.9806184,0.39058554,43.39594,-29.51162,-35.683746,0.19062258,-0.1950924,-0.9620821,-0.21237184,0.17540778,-0.9482316,36.442986,-21.090538,-40.916233,0.15042284,-0.98813206,0.031113435,1.125261,-1.416,0.14691599,4.7429657,23.491524,-95.268875,0.06227193,0.08452593,-0.9944735,-0.31947142,0.30362293,0.71236956,-26.50991,46.516884,-76.299866,-0.13284524,0.54525405,-0.82767755,-0.082303405,0.36579308,1.3983569,-47.58715,34.006767,-52.44094,-0.2722349,0.6611434,-0.69912624,-0.21912311,0.46579924,2.0139928,family
4,201994654,4,80,254.49796,-23.347801,230.66316,-0.5833095,0.5126244,-0.6300527,76.988335,113.1436,19.001165,-0.3583993,0.15429308,-0.92072994,-0.66016155,-0.6586738,-0.10548939,-48.789497,-56.619137,-19.393196,-0.47108406,-0.39505127,-0.7886788,1.2326229,-17.839231,6.4657516,-47.195175,-34.822426,-47.88185,0.06736781,-0.9510114,-0.30172646,0.08379542,-0.5999614,-0.07071627,-32.92886,40.489502,-99.040276,-0.24030045,0.32690567,-0.9139958,-0.82885754,-0.66578585,0.023594653,-0.13954163,54.14839,-92.87199,-0.121043876,0.48381886,-0.866757,-0.7767274,-0.8015486,-0.13478753,44.83809,47.393158,-73.747025,0.21643358,0.54809976,-0.8079252,-4.6418247,-2.245709,-2.1440566,-74.174065,2.3622615,275.4385,0.12593143,0.46182328,-0.8779866,-36.808086,122.67303,27.759798,0.019623876,0.32650134,-0.944993,0.6769184,-1.4866948,0.2606507,43.357433,-29.463097,-35.73446,0.19331758,-0.1926948,-0.96202755,-0.18000501,-0.21291073,-1.0997382,36.45224,-21.099945,-40.93988,0.1506765,-0.98809695,0.031000178,0.949827,-2.815869,0.40286055,4.6702614,23.490974,-95.26818,0.061608918,0.08411939,-0.9945493,-0.7425265,-1.5491425,0.34628043,-26.585388,46.56095,-76.25321,-0.13376799,0.5459868,-0.8270457,-0.9811395,-0.04594091,1.5967923,-47.64108,34.036507,-52.380917,-0.27337393,0.66198546,-0.6978839,-0.79096556,-0.4133076,2.0291255,family
5,252450201,5,80,254.4132,-23.304052,230.79527,-0.5832291,0.5122257,-0.63045114,76.926216,113.11606,19.0298,-0.35824525,0.15479584,-0.9207055,-1.0565528,-0.54298747,0.3842191,-48.74559,-57.342644,-19.121536,-0.47641462,-0.40141368,-0.78223795,0.8862053,-12.278022,4.2312303,-47.22292,-34.7407,-47.890755,0.06702456,-0.9511812,-0.30126747,-0.801076,0.42760327,0.40721372,-32.892952,40.533386,-99.03284,-0.24000463,0.32709706,-0.9140051,-0.37446928,0.2178472,0.52260697,-0.08206177,54.157776,-92.865906,-0.12047166,0.48402643,-0.86672086,-0.024734305,-0.25549108,0.5554803,44.74327,47.311264,-73.80602,0.21379231,0.5467065,-0.8095708,-3.5554478,-1.7441772,-0.72547746,-74.21231,2.1253014,275.38928,0.12611306,0.46253976,-0.8775833,-36.79006,122.62887,27.814714,0.019807806,0.3266332,-0.9449436,0.40778935,-0.5619458,1.095198,43.07057,-29.457901,-35.82367,0.19892395,-0.189127,-0.96159256,-6.5262403,-1.8845782,-0.97823304,36.568882,-21.084549,-40.888115,0.15275608,-0.98772895,0.032513715,2.6932802,-1.2626352,2.7919614,4.610512,23.433388,-95.27952,0.061105404,0.08318227,-0.9946592,-0.62546563,-1.8918103,0.85835415,-26.687489,46.50814,-76.26,-0.13515297,0.54610586,-0.8267418,-1.3495276,-1.4721984,1.0149901,-47.75427,33.993355,-52.318214,-0.27644667,0.66367173,-0.6950662,-2.0102046,-0.9220085,2.8313174,family
6,303027407,6,80,254.36804,-23.288176,230.85573,-0.58324003,0.5119934,-0.6306297,76.88696,113.09735,19.040205,-0.35800287,0.1552263,-0.9207273,-0.99835134,-0.46531203,0.2762089,-48.750454,-57.711533,-18.976011,-0.4788102,-0.40441492,-0.77922356,-0.15163456,-9.513655,3.5887232,-47.224735,-34.68905,-47.911034,0.067064926,-0.9512642,-0.30099618,-0.51036346,0.37457833,0.11485946,-32.866478,40.56334,-99.02815,-0.2398047,0.32709062,-0.9140599,-0.33664644,0.09214862,0.3495521,-0.031677246,54.18126,-92.851974,-0.119923845,0.48437107,-0.86660427,0.26295438,0.050799426,0.56941324,44.75744,47.28865,-73.80258,0.21375144,0.5465009,-0.80972034,-1.3999398,-1.1615384,0.06821959,-74.28377,1.9371164,275.38562,0.12634058,0.4632901,-0.8771547,-36.76573,122.63104,27.923347,0.020563655,0.3263704,-0.94501823,0.5356096,-0.119669184,2.3855798,42.85833,-29.507362,-35.83441,0.20242569,-0.1887924,-0.9609273,-6.5969768,-3.6107194,1.5731573,36.75198,-21.006516,-40.796032,0.156204,-0.98714775,0.033758044,4.6632495,0.50345236,5.0628085,4.6026764,23.333298,-95.299545,0.06101418,0.08192071,-0.99476945,-0.2299062,-2.8795729,1.8519329,-26.7695,46.412003,-76.298935,-0.13645522,0.546196,-0.82646835,-1.5015806,-1.5980817,2.0217917,-47.839104,33.87448,-52.321182,-0.27912536,0.66466373,-0.69304484,-1.852365,-1.8342955,3.4010844,family
7,353407441,7,80,254.31671,-23.319159,230.92436,-0.5832212,0.5120185,-0.63062674,76.85858,113.11073,19.10201,-0.3574851,0.15577203,-0.92083627,-0.118316844,0.4058992,1.5249988,-48.779808,-58.102043,-18.813253,-0.48175475,-0.40743694,-0.775827,-0.35341588,-4.681139,3.7686715,-47.235374,-34.603622,-47.928116,0.06691671,-0.9516001,-0.29996577,0.14625356,1.3140533,1.6746496,-32.82464,40.593353,-99.02729,-0.23970647,0.3267895,-0.91419333,0.39298108,0.5561565,1.4920102,0.068748474,54.168884,-92.856575,-0.119019635,0.48421907,-0.86681384,1.7064204,-0.28150806,1.1843082,44.821434,47.240677,-73.78378,0.21452616,0.5470926,-0.8091157,1.6447456,0.1575149,2.4213746,-74.32917,1.6440244,275.40494,0.12591998,0.464536,-0.87655604,-36.78731,122.676445,28.119242,0.022818565,0.32613185,-0.94504887,-0.16518566,0.48486155,2.0717058,42.575756,-29.632683,-35.760933,0.2068311,-0.19066015,-0.9596195,-5.186607,-3.4242024,2.6562386,37.159145,-20.755653,-40.596992,0.16406693,-0.98582834,0.034993954,4.5911713,2.7262201,4.5522346,4.7170143,23.16201,-95.3246,0.06264361,0.07953769,-0.99486154,0.14216226,-2.6900074,1.5679873,-26.84668,46.236046,-76.38837,-0.13790548,0.54649323,-0.82603097,-0.85234547,-1.0202564,1.3492109,-47.935566,33.574272,-52.431496,-0.2832085,0.66511947,-0.6909479,-1.9775507,-1.467797,2.433495,family
8,403318551,8,80,254.37683,-23.485117,230.9595,-0.5829167,0.5127955,-0.63027686,76.94977,113.18296,19.256378,-0.35789087,0.15578324,-0.92067677,1.8324528,1.2446033,2.8018641,-49.03473,-58.15588,-18.555258,-0.4851957,-0.40863445,-0.77304786,-1.5108244,-0.24598308,6.501207,-47.46627,-34.45317,-47.802223,0.062047772,-0.9526019,-0.29782495,-1.6484324,4.001888,4.737549,-32.79592,40.556084,-99.05225,-0.23993269,0.32593226,-0.91444,2.536626,1.235752,2.575123,0.21029663,53.972084,-92.96799,-0.117844515,0.48282105,-0.8677537,5.140018,-1.7688411,1.1023811,44.97731,46.912865,-73.90125,0.21691579,0.54625654,-0.80904347,5.658776,-3.5013418,1.8919145,-74.27244,1.5660247,275.36508,0.12544914,0.4648018,-0.87648267,-36.80506,122.68585,28.110807,0.023519373,0.3265299,-0.9448942,-0.39519548,0.32198298,0.24856769,42.638844,-29.585396,-35.732407,0.20950097,-0.18945481,-0.959279,0.6527329,0.6696603,1.1500927,37.23404,-20.720665,-40.570328,0.16495332,-0.9856936,0.0346209,2.0764318,1.2005283,1.4564551,4.714863,23.09822,-95.33128,0.062663004,0.07825056,-0.9949624,0.007215746,-1.7764893,0.027622612,-26.841415,46.290176,-76.358696,-0.13770115,0.5476677,-0.8252869,0.1355631,1.1702784,0.6624557,-47.9209,33.553802,-52.46073,-0.28324303,0.66515136,-0.69090307,-0.4456851,-0.5600205,-0.3419406,family
9,453624937,9,80,254.71478,-24.01468,230.93922,-0.58208823,0.5159028,-0.6285042,77.25124,113.51056,19.83799,-0.3613774,0.1547635,-0.91948605,5.096179,4.0958586,8.006206,-49.818672,-57.891094,-17.817623,-0.49449095,-0.4094382,-0.76670665,-3.617183,6.6618304,16.8318,-48.216385,-34.11183,-47.264153,0.04814642,-0.955737,-0.2902563,-4.7995434,8.804307,15.557922,-32.870213,40.354736,-99.10964,-0.24144857,0.3230278,-0.91507137,4.591091,2.381358,7.4960413,0.41098785,53.35817,-93.32335,-0.11588045,0.4790406,-0.8701102,9.608186,-3.6334696,3.4494488,45.151047,45.877686,-74.431465,0.21940158,0.54105586,-0.811863,8.449367,-8.485481,2.371267,-74.13577,1.4456902,275.28177,0.12466671,0.46519798,-0.8763841,-36.80777,122.674324,28.063478,0.024381153,0.32675672,-0.94479394,-0.12136557,-0.15148683,-0.7662458,42.82092,-29.514015,-35.678684,0.21852814,-0.185706,-0.95799726,7.374904,2.7310822,1.2989286,37.307083,-20.75167,-40.493286,0.16475444,-0.98566025,0.036467284,1.5838282,-1.5728287,1.8615906,4.751625,23.038246,-95.335785,0.06323686,0.07709019,-0.9950167,0.8485652,-2.0113962,-0.900482,-26.790974,46.283546,-76.38071,-0.13713916,0.54769826,-0.8253602,0.910446,-0.1466907,-1.108749,-47.895966,33.529045,-52.502373,-0.28313375,0.6650923,-0.69100475,0.3316447,-0.85772616,-1.7059883,family
