id,time,cur_frame,total_frames,rarm_pos_x,rarm_pos_y,rarm_pos_z,rarm_yaw,rarm_roll,rarm_pitch,rhand_pos_x,rhand_pos_y,rhand_pos_z,rhand_yaw,rhand_roll,rhand_pitch,rhand_vel_x,rhand_vel_y,rhand_vel_z,rfinger1_pos_x,rfinger1_pos_y,rfinger1_pos_z,rfinger1_yaw,rfinger1_roll,rfinger1_pitch,rfinger1_vel_x,rfinger1_vel_y,rfinger1_vel_z,rfinger2_pos_x,rfinger2_pos_y,rfinger2_pos_z,rfinger2_yaw,rfinger2_roll,rfinger2_pitch,rfinger2_vel_x,rfinger2_vel_y,rfinger2_vel_z,rfinger3_pos_x,rfinger3_pos_y,rfinger3_pos_z,rfinger3_yaw,rfinger3_roll,rfinger3_pitch,rfinger3_vel_x,rfinger3_vel_y,rfinger3_vel_z,rfinger4_pos_x,rfinger4_pos_y,rfinger4_pos_z,rfinger4_yaw,rfinger4_roll,rfinger4_pitch,rfinger4_vel_x,rfinger4_vel_y,rfinger4_vel_z,rfinger5_pos_x,rfinger5_pos_y,rfinger5_pos_z,rfinger5_yaw,rfinger5_roll,rfinger5_pitch,rfinger5_vel_x,rfinger5_vel_y,rfinger5_vel_z,larm_pos_x,larm_pos_y,larm_pos_z,larm_yaw,larm_roll,larm_pitch,lhand_pos_x,lhand_pos_y,lhand_pos_z,lhand_yaw,lhand_roll,lhand_pitch,lhand_vel_x,lhand_vel_y,lhand_vel_z,lfinger1_pos_x,lfinger1_pos_y,lfinger1_pos_z,lfinger1_yaw,lfinger1_roll,lfinger1_pitch,lfinger1_vel_x,lfinger1_vel_y,lfinger1_vel_z,lfinger2_pos_x,lfinger2_pos_y,lfinger2_pos_z,lfinger2_yaw,lfinger2_roll,lfinger2_pitch,lfinger2_vel_x,lfinger2_vel_y,lfinger2_vel_z,lfinger3_pos_x,lfinger3_pos_y,lfinger3_pos_z,lfinger3_yaw,lfinger3_roll,lfinger3_pitch,lfinger3_vel_x,lfinger3_vel_y,lfinger3_vel_z,lfinger4_pos_x,lfinger4_pos_y,lfinger4_pos_z,lfinger4_yaw,lfinger4_roll,lfinger4_pitch,lfinger4_vel_x,lfinger4_vel_y,lfinger4_vel_z,lfinger5_pos_x,lfinger5_pos_y,lfinger5_pos_z,lfinger5_yaw,lfinger5_roll,lfinger5_pitch,lfinger5_vel_x,lfinger5_vel_y,lfinger5_vel_z,sign
0,3719235,0,10,173.82779,-35.161057,227.77078,-0.30356884,0.67995,-0.6674683,68.81255,187.63588,17.158098,-0.28200087,0.7187031,-0.63556385,-7.9758134,-0.04489481,4.072678,-57.083603,3.3092651,-23.15935,-0.45695862,0.2628884,-0.849752,-8.004788,-9.440689,0.55833787,-65.04277,14.120865,-29.205547,-0.6708413,-0.7049475,-0.23026288,-9.150918,0.6121789,-5.294046,-21.512184,79.46147,-78.976204,-0.2600388,0.5866668,-0.7669432,-9.60014,-7.32643,-3.0156195,11.203712,76.666245,-76.71124,-0.027291747,0.76936567,-0.6382254,-14.879122,-8.921444,-6.0623097,25.892242,43.467087,-78.089485,0.031819697,0.73173577,-0.68084526,-11.084265,-5.725755,-0.47337493,-214.54881,19.321182,138.4596,0.5185493,0.6424253,-0.5642662,-83.7409,191.56842,-16.821419,0.20594177,0.6414994,-0.7389631,-7.9050283,19.226036,-0.6438195,66.23146,8.275101,-1.1318245,0.67624915,0.29600173,-0.6745888,1.107947,27.731441,19.355062,45.25463,-17.068237,-3.311079,0.18561147,-0.92574495,0.32946116,-14.896211,2.023144,-6.4784446,19.049202,70.28668,-60.919487,0.28569084,0.69335556,-0.6615428,-6.711257,35.038563,16.45525,-9.919243,55.846573,-67.91557,0.032331612,0.72266996,-0.6904367,-8.7597885,39.96653,17.136295,-32.028008,22.654373,-67.92817,-0.22286257,0.5875111,-0.7779222,-14.099646,38.459583,8.430195,family
1,51571457,1,10,174.30737,-36.780357,225.93245,-0.30574593,0.68652123,-0.659703,68.52381,187.59132,17.297388,-0.28516287,0.7157529,-0.6374793,-5.8640018,-0.8150557,2.9291058,-57.08223,2.9489899,-23.281624,-0.45833048,0.26052633,-0.8497407,-5.845166,-8.19402,0.1258533,-65.06489,13.969589,-29.533638,-0.6711285,-0.7019697,-0.23838015,-7.1846313,-0.408207,-6.318167,-21.573727,79.36775,-79.08452,-0.2569556,0.58814067,-0.7668536,-4.194207,-0.16520183,2.1785765,10.845734,76.46971,-76.96638,-0.032149307,0.7660398,-0.6419887,-13.259467,-5.711546,-3.1448538,25.753769,43.43483,-78.160614,0.027848182,0.7300015,-0.6828779,-8.842257,-1.885554,1.30712,-214.75586,19.155697,137.81027,0.5182495,0.6452803,-0.561276,-83.84219,191.86743,-16.882925,0.20915379,0.6394811,-0.7398098,-2.5817502,8.729081,-1.3220575,66.43491,8.783676,-0.54216003,0.6825395,0.31173754,-0.6610291,2.7052934,24.502602,16.21093,44.99772,-17.686127,-3.5276794,0.17587936,-0.9280608,0.3282827,-8.163555,-4.1265936,-6.943254,18.926918,70.741425,-60.472473,0.27924362,0.7018905,-0.6552654,-8.332162,21.523996,10.544988,-10.158905,56.42473,-67.364716,0.029034149,0.72950643,-0.6833575,-7.651236,22.381475,11.893879,-32.313225,23.14,-67.62422,-0.22456662,0.5922758,-0.77380824,-10.878165,20.76008,6.8603444,family
2,102497793,2,10,174.89436,-38.367714,223.93965,-0.3082019,0.6939836,-0.6506907,68.17983,187.69974,17.537443,-0.28991553,0.7108105,-0.6408568,-6.5267067,1.9194506,4.5680842,-57.06205,2.3880615,-23.42328,-0.4593801,0.25446376,-0.8510101,-6.1543984,-8.604212,2.060808,-65.130356,13.515305,-29.877924,-0.6681542,-0.7032173,-0.24301304,-8.549951,-3.321292,-4.0301323,-21.74234,79.13495,-79.31587,-0.25427634,0.5883906,-0.7675546,-7.0404673,1.0172379,2.4763358,10.317299,76.14047,-77.36991,-0.038820475,0.7612519,-0.6472932,-17.565365,-5.2387586,-4.0675135,25.507118,43.275787,-78.345894,0.021585785,0.7262178,-0.68712574,-11.753587,-1.0876298,1.0075736,-214.78154,19.4085,137.91557,0.5180147,0.6448279,-0.5620122,-83.83547,191.934,-16.980246,0.21064055,0.63864774,-0.74010783,-0.39512584,2.2387426,-1.9074805,66.6012,9.18486,-0.11006355,0.687168,0.3226154,-0.6509373,3.4665065,12.500119,9.978736,44.83179,-18.068771,-3.6731339,0.17014104,-0.929531,0.3271455,-4.0200396,-5.805382,-5.380113,18.51477,71.328384,-59.94394,0.2705363,0.7117346,-0.64826226,-8.858809,14.596197,9.514018,-10.402641,56.90959,-66.877716,0.026317794,0.735426,-0.6770938,-5.6805105,13.121912,9.3726635,-32.51593,23.476898,-67.40079,-0.22554857,0.59576964,-0.77083486,-5.1812396,10.063397,3.4416556,family
3,152734726,3,10,175.29036,-40.84091,221.16322,-0.30938044,0.70572907,-0.63736194,67.84532,187.9331,18.09722,-0.29750788,0.7032432,-0.6457074,-5.504018,4.319426,11.250297,-57.07263,1.6403046,-23.454216,-0.46283597,0.24526402,-0.85183823,-5.428523,-10.772529,10.440633,-65.2473,13.223602,-30.295254,-0.6685655,-0.6999473,-0.2511851,-8.392619,3.8884783,-0.9365643,-22.264107,78.64676,-79.69399,-0.25566512,0.5856926,-0.7691551,-14.782365,-3.7826273,4.7846494,9.533562,75.63556,-77.977585,-0.046523884,0.7553634,-0.65365255,-20.95849,-6.201999,-1.2012358,25.009308,42.961243,-78.68394,0.012925443,0.7210568,-0.69275534,-15.474717,-1.9198356,4.7607484,-213.96217,19.662718,139.08984,0.51153594,0.6448588,-0.56788045,-84.14245,192.01117,-17.120789,0.21732154,0.6363187,-0.7401823,-6.374948,2.5932171,-3.0406265,66.81276,8.522522,0.023721695,0.6918308,0.31479713,-0.6498253,-0.8349196,-11.439255,1.3719908,44.58328,-18.665573,-3.694891,0.15892972,-0.9315939,0.3269162,-11.5746355,-9.303266,-3.7803967,18.71785,71.69855,-59.450165,0.26989374,0.717712,-0.64190876,-4.262627,11.367061,7.9797783,-10.246483,57.41028,-66.4501,0.027028669,0.7408227,-0.67115664,-3.1177917,12.627484,5.6052103,-32.385788,23.917496,-67.30728,-0.22082855,0.5992751,-0.76948303,-4.3708453,11.652695,-0.7324098,family
4,203554319,4,10,178.01294,-43.22545,217.7477,-0.31722948,0.71611786,-0.62172395,67.979744,187.97601,18.806065,-0.30645302,0.69717646,-0.6480984,1.1758381,0.5155944,11.805918,-57.232666,1.0702515,-23.209925,-0.47115177,0.24013235,-0.8487358,-1.9188544,-9.209741,15.958154,-65.3929,13.62439,-30.64224,-0.6754473,-0.6879123,-0.26560807,-1.1510217,14.596393,1.3997084,-23.021965,78.266266,-79.86774,-0.26064485,0.583064,-0.76948076,-10.3071375,-4.3699446,9.795011,8.611389,75.28937,-78.42624,-0.054720357,0.75160146,-0.6573438,-14.5045,-5.680819,3.9278865,24.283096,42.76294,-79.01514,0.0031130272,0.7175064,-0.69654495,-11.691567,-3.0743663,6.1177874,-212.559,20.276806,138.81288,0.49868163,0.6514606,-0.5717654,-84.98884,193.67632,-18.326921,0.23097505,0.62888175,-0.74240035,-15.842619,26.48572,-17.757738,67.162476,7.6900635,0.81225204,0.7029232,0.29954776,-0.6451125,-8.743002,11.796637,-1.4956036,44.217068,-19.471176,-3.210884,0.13977198,-0.9316988,0.3352628,-22.818516,13.918538,-7.90402,19.736511,71.53026,-59.36419,0.27817854,0.7169691,-0.6391964,0.9166739,24.772411,-15.408257,-9.559914,57.656265,-66.30061,0.03282973,0.74427,-0.66707146,-4.7685275,31.987766,-13.698213,-31.740532,24.067413,-67.562195,-0.20983694,0.59910315,-0.7726862,-4.640292,28.63544,-22.314991,family
5,254096565,5,10,178.32585,-44.66092,216.29921,-0.31745818,0.722048,-0.61470884,67.97713,187.92989,19.1946,-0.311256,0.69384015,-0.6493886,-0.06922803,-0.86342704,6.842756,-57.302277,0.76908875,-23.102865,-0.47570884,0.23832063,-0.84670204,-1.0720761,-5.710912,8.733126,-65.420525,14.150681,-30.971169,-0.68041337,-0.6784292,-0.27707678,-0.5799116,9.131729,0.3006624,-23.298573,78.16414,-79.90079,-0.26167524,0.5830295,-0.7691571,-4.0071554,-1.972184,6.6535497,8.226662,75.138565,-78.62587,-0.05705597,0.7504816,-0.6584239,-5.613655,-2.3844018,4.566243,23.897064,42.678207,-79.171036,-0.0025945192,0.7157804,-0.6983206,-6.7712903,-1.9575362,4.548708,-210.7593,20.620338,139.80124,0.49126974,0.65262455,-0.57683206,-84.887726,194.124,-18.63906,0.22920981,0.6261931,-0.74521476,0.12730457,9.950269,-5.2119203,67.341354,7.8352203,0.887907,0.7017692,0.30047208,-0.6459385,2.3899214,13.345849,-2.5480363,43.907154,-19.889648,-3.3016014,0.13097942,-0.93123215,0.34007514,-5.507271,4.3838534,-4.7900825,19.376526,71.747894,-59.270493,0.2719278,0.72112584,-0.637207,-5.3138757,13.384141,-3.6852884,-10.076584,57.927612,-65.95846,0.02684043,0.74777937,-0.6634045,-7.001784,12.6830225,-1.1856834,-32.281387,24.241394,-67.23156,-0.21682636,0.6016144,-0.76879543,-8.208132,11.988883,-0.14100493,family
6,304616438,6,10,177.60321,-45.16951,216.10577,-0.31455016,0.72413534,-0.61374766,67.97149,187.92917,19.247387,-0.31255242,0.69295585,-0.64971006,-0.10762249,-0.116688,2.4981809,-57.33224,0.71058655,-23.061392,-0.47758418,0.23871508,-0.84553444,-0.80411375,-1.9253625,3.7251637,-65.40223,14.669739,-31.202648,-0.68485636,-0.6704061,-0.2855302,0.40235284,13.961121,-3.756174,-23.19886,78.29007,-79.823456,-0.25955403,0.58543164,-0.7680505,2.2067978,3.1765757,4.5995584,8.115746,75.0943,-78.68535,-0.057777762,0.75014997,-0.65873873,-3.125374,-1.1428272,1.0636463,23.789452,42.657043,-79.2104,-0.004060504,0.71553206,-0.6985681,-3.3957646,-0.52258766,1.6253424,-210.27338,20.42231,140.03192,0.489171,0.65331906,-0.57782865,-84.90298,194.0934,-18.6366,0.22833674,0.6265405,-0.7451908,-0.31183273,1.3903859,-1.0937687,67.336586,8.057709,0.95409775,0.70077074,0.30371746,-0.64550453,-0.84145314,6.435492,-0.35882202,43.73575,-20.014542,-3.1823788,0.12558772,-0.93075716,0.34339315,-5.4706354,-1.7373942,1.2701685,19.13784,72.018875,-59.032917,0.26920065,0.724852,-0.63412976,-5.411858,6.9065366,3.8747768,-10.237541,58.041626,-65.828735,0.025183136,0.74898493,-0.6621083,-4.367295,3.7714362,1.9281101,-32.416466,24.326004,-67.12622,-0.21889429,0.6031541,-0.7670009,-4.709025,3.7707584,2.2724128,family
7,354892059,7,10,176.47174,-46.07763,215.66078,-0.30949882,0.72820824,-0.61149263,68.07562,188.03821,19.41379,-0.31517842,0.691347,-0.6501553,2.6128979,2.587386,4.135118,-57.41335,0.631485,-22.87188,-0.48108742,0.2372175,-0.84396845,0.64401776,0.5053386,8.8466425,-65.43762,15.27626,-31.290169,-0.6910509,-0.6612892,-0.29179657,1.9410337,18.578117,1.6261971,-23.293282,78.30734,-79.805466,-0.25939158,0.58678025,-0.7670756,0.3713158,3.3786247,4.7287827,7.905388,74.958405,-78.84554,-0.058395207,0.7497681,-0.659119,-2.8181517,-0.41059288,0.5528,23.496399,42.506256,-79.372986,-0.006572637,0.71456534,-0.6995378,-4.4208813,-0.590862,0.76269513,-209.95189,20.110884,140.38327,0.4880138,0.65360755,-0.5784805,-84.90433,193.8283,-18.48294,0.22657627,0.6264577,-0.7457975,-0.026364587,-5.6358037,3.3581953,67.29219,8.339874,0.8828125,0.6982137,0.3091957,-0.6456746,-2.4295287,1.5206331,0.29536512,43.56239,-20.186813,-3.2281551,0.12121861,-0.93067116,0.3451916,-4.8008018,-9.216412,2.5796015,18.852943,72.261765,-58.828644,0.2661627,0.7280984,-0.63168836,-6.2621,-0.24013206,8.30416,-10.453049,58.15782,-65.69133,0.02315107,0.74998343,-0.66105133,-4.79637,-3.2368672,6.398784,-32.66005,24.46077,-66.94682,-0.22110856,0.6048897,-0.7649964,-5.8479686,-2.2052577,7.9289956,family
8,404944871,8,10,176.57658,-46.63927,214.60068,-0.30956814,0.73159057,-0.6074067,68.061386,188.31105,19.442383,-0.31713098,0.6900205,-0.6506148,0.067464575,4.097303,0.82481724,-57.44503,0.51000977,-22.80537,-0.48308346,0.23600264,-0.8431685,-0.48878136,2.0791826,2.1269069,-65.4388,15.510773,-31.351421,-0.6927217,-0.65844905,-0.29424727,0.23982394,9.12108,-0.06208436,-23.366482,78.31673,-79.79745,-0.25910744,0.58766055,-0.7664975,-0.98360634,4.643572,1.1548382,7.7583237,74.90965,-78.915115,-0.058721196,0.74997294,-0.65885687,-2.1539757,3.6947615,0.065239154,23.339722,42.4552,-79.44293,-0.007983023,0.71430874,-0.6997852,-2.5240462,3.4207294,-0.095716536,-210.3399,20.062914,140.5883,0.48857456,0.6534068,-0.5782339,-85.158745,193.70216,-18.249702,0.22684477,0.62552303,-0.7465001,-3.5762837,-2.3482847,3.6197746,67.222824,8.568329,0.961668,0.6974577,0.31114018,-0.6455575,-5.6436043,1.540566,3.280719,43.442776,-20.252945,-3.0109634,0.1170047,-0.9294411,0.34992743,-6.1753716,-3.4097483,6.8371525,18.790764,72.31694,-58.780922,0.2660805,0.7288714,-0.6308309,-4.636936,-1.2779075,4.7871056,-10.458214,58.111053,-65.72548,0.023257433,0.749686,-0.66138494,-3.7113426,-2.917209,3.284396,-32.63009,24.376953,-66.9815,-0.22095522,0.60441804,-0.7654134,-3.620545,-3.054128,3.65636,family
9,455415800,9,10,177.17421,-47.025387,213.32126,-0.3117082,0.73460376,-0.6026569,67.99903,188.63722,19.389828,-0.31863102,0.6883875,-0.65161103,-1.0410805,7.4756765,-1.0653276,-57.444157,0.34884644,-22.819876,-0.48373112,0.23410155,-0.84332716,-1.2090446,3.7117758,-0.8565497,-65.43552,15.46254,-31.422707,-0.691629,-0.65952235,-0.294414,-0.99065816,6.666853,-1.7975769,-23.436676,78.26463,-79.84946,-0.2589535,0.58767337,-0.7665397,-3.2613919,6.6677756,-1.9205965,7.785446,74.9648,-78.87,-0.0559192,0.75239277,-0.6563369,-0.13331914,10.615277,1.6839975,23.28492,42.41423,-79.48412,-0.008460044,0.71391076,-0.7001856,-2.3733385,6.9072156,-1.734927,-210.8801,20.00525,140.68486,0.49091944,0.65273404,-0.5770064,-85.16835,193.39134,-17.972183,0.22680163,0.62369055,-0.74804485,-0.6469673,-6.4215245,6.341665,67.177475,8.567734,0.7881222,0.69550943,0.3116325,-0.64741933,-3.1904004,-5.042832,1.4740503,43.247982,-20.494247,-3.0105267,0.11124029,-0.9289237,0.35316613,-5.6107526,-11.4450245,7.1741824,18.802856,72.29323,-58.806625,0.266357,0.728584,-0.6310462,0.48056352,-7.408057,5.6505303,-10.474922,58.109756,-65.72148,0.023791406,0.7492257,-0.6618873,-0.26723576,-6.946984,5.8933916,-32.77761,24.479233,-66.85042,-0.22142483,0.6058155,-0.7641719,-3.408496,-3.9595878,9.399565,family
