id,time,cur_frame,total_frames,arm_pos_x,arm_pos_y,arm_pos_z,arm_yaw,arm_roll,arm_pitch,hand_pos_x,hand_pos_y,hand_pos_z,hand_yaw,hand_roll,hand_pitch,hand_vel_x,hand_vel_y,hand_vel_z,finger1_pos_x,finger1_pos_y,finger1_pos_z,finger1_yaw,finger1_roll,finger1_pitch,finger1_vel_x,finger1_vel_y,finger1_vel_z,finger2_pos_x,finger2_pos_y,finger2_pos_z,finger2_yaw,finger2_roll,finger2_pitch,finger2_vel_x,finger2_vel_y,finger2_vel_z,finger3_pos_x,finger3_pos_y,finger3_pos_z,finger3_yaw,finger3_roll,finger3_pitch,finger3_vel_x,finger3_vel_y,finger3_vel_z,finger4_pos_x,finger4_pos_y,finger4_pos_z,finger4_yaw,finger4_roll,finger4_pitch,finger4_vel_x,finger4_vel_y,finger4_vel_z,finger5_pos_x,finger5_pos_y,finger5_pos_z,finger5_yaw,finger5_roll,finger5_pitch,finger5_vel_x,finger5_vel_y,finger5_vel_z,sign
-35,5353479,0,35,61.363453,78.52371,232.11143,-0.18766503,0.52339345,-0.83116853,17.426336,243.0654,22.19301,0.14512827,0.90273815,-0.40497112,11.219023,30.837996,-3.5319715,-17.426336,-243.0654,-22.19301,0.0,0.0,0.0,0.0,0.0,0.0,-17.426336,-243.0654,-22.19301,0.0,0.0,0.0,0.0,0.0,0.0,-17.426336,-243.0654,-22.19301,0.0,0.0,0.0,0.0,0.0,0.0,-17.426336,-243.0654,-22.19301,0.0,0.0,0.0,0.0,0.0,0.0,-17.426336,-243.0654,-22.19301,0.0,0.0,0.0,0.0,0.0,0.0,a
-34,100425389,1,35,63.35932,76.56377,230.65675,-0.19769053,0.53907424,-0.81872916,19.086252,244.24672,22.510412,0.187237,0.88626784,-0.42364088,20.709288,5.5560236,2.8515966,-19.086252,-244.24672,-22.510412,0.0,0.0,0.0,0.0,0.0,0.0,-19.086252,-244.24672,-22.510412,0.0,0.0,0.0,0.0,0.0,0.0,-19.086252,-244.24672,-22.510412,0.0,0.0,0.0,0.0,0.0,0.0,-19.086252,-244.24672,-22.510412,0.0,0.0,0.0,0.0,0.0,0.0,-19.086252,-244.24672,-22.510412,0.0,0.0,0.0,0.0,0.0,0.0,a
-33,199991703,2,35,63.50625,78.26427,231.63167,-0.18913694,0.5423141,-0.8186102,22.349731,246.6984,23.640568,0.21203974,0.8848305,-0.41486648,27.291487,26.184042,12.977288,-22.349731,-246.6984,-23.640568,0.0,0.0,0.0,0.0,0.0,0.0,-22.349731,-246.6984,-23.640568,0.0,0.0,0.0,0.0,0.0,0.0,-22.349731,-246.6984,-23.640568,0.0,0.0,0.0,0.0,0.0,0.0,-22.349731,-246.6984,-23.640568,0.0,0.0,0.0,0.0,0.0,0.0,-22.349731,-246.6984,-23.640568,0.0,0.0,0.0,0.0,0.0,0.0,a
-32,300156992,3,35,61.26942,75.96084,227.99074,-0.17161997,0.57040215,-0.80323595,25.523212,250.70354,23.35903,0.23910774,0.8742764,-0.422455,19.502821,26.14729,-9.984445,-25.523212,-250.70354,-23.35903,0.0,0.0,0.0,0.0,0.0,0.0,-25.523212,-250.70354,-23.35903,0.0,0.0,0.0,0.0,0.0,0.0,-25.523212,-250.70354,-23.35903,0.0,0.0,0.0,0.0,0.0,0.0,-25.523212,-250.70354,-23.35903,0.0,0.0,0.0,0.0,0.0,0.0,-25.523212,-250.70354,-23.35903,0.0,0.0,0.0,0.0,0.0,0.0,a
-31,400762772,4,35,62.787846,82.456154,230.13063,-0.16793232,0.5906542,-0.7892569,24.769133,261.14557,26.768925,0.17064993,0.86164534,-0.4779601,-12.054162,187.73875,60.508453,-24.769133,-261.14557,-26.768925,0.0,0.0,0.0,0.0,0.0,0.0,-24.769133,-261.14557,-26.768925,0.0,0.0,0.0,0.0,0.0,0.0,-24.769133,-261.14557,-26.768925,0.0,0.0,0.0,0.0,0.0,0.0,-24.769133,-261.14557,-26.768925,0.0,0.0,0.0,0.0,0.0,0.0,-24.769133,-261.14557,-26.768925,0.0,0.0,0.0,0.0,0.0,0.0,a
-30,500750932,5,35,62.498775,81.79642,229.52419,-0.16476068,0.60778165,-0.7768239,23.996565,264.40317,28.933952,0.14467221,0.8636241,-0.4829321,-2.771362,15.1677,8.446179,-23.996565,-264.40317,-28.933952,0.0,0.0,0.0,0.0,0.0,0.0,-23.996565,-264.40317,-28.933952,0.0,0.0,0.0,0.0,0.0,0.0,-23.996565,-264.40317,-28.933952,0.0,0.0,0.0,0.0,0.0,0.0,-23.996565,-264.40317,-28.933952,0.0,0.0,0.0,0.0,0.0,0.0,-23.996565,-264.40317,-28.933952,0.0,0.0,0.0,0.0,0.0,0.0,a
-29,600928807,6,35,59.085835,83.62825,231.78215,-0.15258543,0.6110048,-0.77678233,19.695356,266.6069,30.85209,0.0654775,0.865163,-0.4971978,-66.13763,32.442272,32.535233,-19.695356,-266.6069,-30.85209,0.0,0.0,0.0,0.0,0.0,0.0,-19.695356,-266.6069,-30.85209,0.0,0.0,0.0,0.0,0.0,0.0,-19.695356,-266.6069,-30.85209,0.0,0.0,0.0,0.0,0.0,0.0,-19.695356,-266.6069,-30.85209,0.0,0.0,0.0,0.0,0.0,0.0,-19.695356,-266.6069,-30.85209,0.0,0.0,0.0,0.0,0.0,0.0,a
-28,702880764,7,35,68.230034,94.224945,231.16881,-0.26573282,0.5627881,-0.7827232,7.335145,267.45856,31.45211,0.15289754,0.87369996,-0.4618124,-38.35468,1.997876,0.61250746,-7.335145,-267.45856,-31.45211,0.0,0.0,0.0,0.0,0.0,0.0,-7.335145,-267.45856,-31.45211,0.0,0.0,0.0,0.0,0.0,0.0,-7.335145,-267.45856,-31.45211,0.0,0.0,0.0,0.0,0.0,0.0,-7.335145,-267.45856,-31.45211,0.0,0.0,0.0,0.0,0.0,0.0,-7.335145,-267.45856,-31.45211,0.0,0.0,0.0,0.0,0.0,0.0,a
-27,801485923,8,35,74.04706,99.22612,231.229,-0.30129126,0.53919864,-0.7864403,6.39047,267.84512,32.85435,0.18243596,0.89019114,-0.41746482,-13.955239,8.118536,26.030336,-6.39047,-267.84512,-32.85435,0.0,0.0,0.0,0.0,0.0,0.0,-6.39047,-267.84512,-32.85435,0.0,0.0,0.0,0.0,0.0,0.0,-6.39047,-267.84512,-32.85435,0.0,0.0,0.0,0.0,0.0,0.0,-6.39047,-267.84512,-32.85435,0.0,0.0,0.0,0.0,0.0,0.0,-6.39047,-267.84512,-32.85435,0.0,0.0,0.0,0.0,0.0,0.0,a
-26,902355531,9,35,77.59707,105.60817,234.48036,-0.31810874,0.5057504,-0.8018874,6.6538925,267.2641,34.877842,0.19330613,0.907832,-0.37212068,4.6163697,-9.480733,18.422283,-6.6538925,-267.2641,-34.877842,0.0,0.0,0.0,0.0,0.0,0.0,-6.6538925,-267.2641,-34.877842,0.0,0.0,0.0,0.0,0.0,0.0,-6.6538925,-267.2641,-34.877842,0.0,0.0,0.0,0.0,0.0,0.0,-6.6538925,-267.2641,-34.877842,0.0,0.0,0.0,0.0,0.0,0.0,-6.6538925,-267.2641,-34.877842,0.0,0.0,0.0,0.0,0.0,0.0,a
