id,time,cur_frame,total_frames,rarm_pos_x,rarm_pos_y,rarm_pos_z,rarm_yaw,rarm_roll,rarm_pitch,rhand_pos_x,rhand_pos_y,rhand_pos_z,rhand_yaw,rhand_roll,rhand_pitch,rhand_vel_x,rhand_vel_y,rhand_vel_z,rfinger1_pos_x,rfinger1_pos_y,rfinger1_pos_z,rfinger1_yaw,rfinger1_roll,rfinger1_pitch,rfinger1_vel_x,rfinger1_vel_y,rfinger1_vel_z,rfinger2_pos_x,rfinger2_pos_y,rfinger2_pos_z,rfinger2_yaw,rfinger2_roll,rfinger2_pitch,rfinger2_vel_x,rfinger2_vel_y,rfinger2_vel_z,rfinger3_pos_x,rfinger3_pos_y,rfinger3_pos_z,rfinger3_yaw,rfinger3_roll,rfinger3_pitch,rfinger3_vel_x,rfinger3_vel_y,rfinger3_vel_z,rfinger4_pos_x,rfinger4_pos_y,rfinger4_pos_z,rfinger4_yaw,rfinger4_roll,rfinger4_pitch,rfinger4_vel_x,rfinger4_vel_y,rfinger4_vel_z,rfinger5_pos_x,rfinger5_pos_y,rfinger5_pos_z,rfinger5_yaw,rfinger5_roll,rfinger5_pitch,rfinger5_vel_x,rfinger5_vel_y,rfinger5_vel_z,larm_pos_x,larm_pos_y,larm_pos_z,larm_yaw,larm_roll,larm_pitch,lhand_pos_x,lhand_pos_y,lhand_pos_z,lhand_yaw,lhand_roll,lhand_pitch,lhand_vel_x,lhand_vel_y,lhand_vel_z,lfinger1_pos_x,lfinger1_pos_y,lfinger1_pos_z,lfinger1_yaw,lfinger1_roll,lfinger1_pitch,lfinger1_vel_x,lfinger1_vel_y,lfinger1_vel_z,lfinger2_pos_x,lfinger2_pos_y,lfinger2_pos_z,lfinger2_yaw,lfinger2_roll,lfinger2_pitch,lfinger2_vel_x,lfinger2_vel_y,lfinger2_vel_z,lfinger3_pos_x,lfinger3_pos_y,lfinger3_pos_z,lfinger3_yaw,lfinger3_roll,lfinger3_pitch,lfinger3_vel_x,lfinger3_vel_y,lfinger3_vel_z,lfinger4_pos_x,lfinger4_pos_y,lfinger4_pos_z,lfinger4_yaw,lfinger4_roll,lfinger4_pitch,lfinger4_vel_x,lfinger4_vel_y,lfinger4_vel_z,lfinger5_pos_x,lfinger5_pos_y,lfinger5_pos_z,lfinger5_yaw,lfinger5_roll,lfinger5_pitch,lfinger5_vel_x,lfinger5_vel_y,lfinger5_vel_z,sign
0,4739589,0,32,200.37158,-21.700756,137.13837,-0.44050726,0.7157077,-0.54195553,82.68328,139.28143,-1.2928079,-0.543586,0.33606252,-0.76913995,2.57686,-115.85605,-54.24597,-43.45115,-8.374008,15.395244,-0.8116682,-0.115053676,-0.57267565,9.736417,-121.277405,-52.510742,-55.962788,48.1671,-40.71379,-0.63226604,0.4640627,-0.62039137,-13.660268,-158.86392,-85.29733,-30.681679,-32.50316,17.500345,0.0378261,-0.65831494,0.7517916,8.512948,-109.88506,-27.69865,-20.911,-37.18531,12.108395,-0.052845657,-0.5807714,0.8123497,6.948633,-112.50838,-27.358936,-12.107811,-33.676064,4.002148,-0.21550997,-0.35154846,0.9110264,5.2589045,-116.508736,-31.269886,-355.6601,84.024155,75.33173,0.9684016,0.23143078,-0.09294132,-115.17079,166.92668,35.105434,0.5112548,0.6397511,-0.573879,14.412615,116.69118,-25.160604,38.91738,1.7820892,23.860893,0.9105021,0.19071475,-0.36689755,2.6026907,186.7649,-4.093323,66.37891,53.03871,-14.530083,0.91530913,0.33834732,-0.2184727,-44.24441,203.17451,19.114733,38.77845,-15.338165,31.328701,0.06764276,-0.6687136,0.7404367,35.979504,170.52638,-17.539284,35.47171,-23.78975,22.679386,0.08084987,-0.5491819,0.83178276,41.59011,162.31439,-16.786804,27.846802,-26.283691,10.589947,0.05592654,-0.34285346,0.9377226,49.053555,153.72655,-19.852604,sign
1,50919811,1,32,209.74583,-25.322075,132.50192,-0.48819822,0.7135474,-0.5025063,82.65133,133.48814,0.9615632,-0.53009564,0.30127534,-0.79261076,-4.8981624,-94.47923,37.784145,-43.30536,-11.002823,13.130518,-0.7696465,-0.16977121,-0.61548513,3.6430068,-151.51128,-10.241204,-57.182487,44.36972,-43.185635,-0.6432373,0.40914312,-0.64718443,-40.010487,-181.62358,-8.987482,-29.615952,-34.257736,16.166039,0.04054258,-0.6561802,0.7535143,16.660778,-129.84677,12.473193,-19.568573,-38.41777,10.992753,-0.061813526,-0.5868988,0.8072973,25.619905,-119.46426,18.96959,-10.381653,-34.357826,3.5138435,-0.23738402,-0.36296317,0.90105855,30.35091,-108.43941,29.318472,-354.71347,95.88151,79.51235,0.9725499,0.19996181,-0.11900406,-115.888664,173.48756,33.107998,0.4536696,0.675243,-0.5815761,-16.881086,116.86117,-45.507668,39.116493,4.552902,22.945374,0.8834775,0.2573357,-0.39146632,-22.311522,176.28394,-56.64558,62.9548,56.62477,-15.3040695,0.8934751,0.3856647,-0.23014124,-74.02854,176.67506,-63.34673,40.791527,-12.989304,29.941502,0.1368312,-0.6682255,0.7312673,17.577297,168.20053,-63.245274,37.52185,-21.723404,21.424007,0.13879116,-0.55006737,0.8235065,16.831905,158.87425,-57.87034,29.726646,-24.582306,9.528297,0.10421656,-0.34662727,0.9321955,15.008583,149.62073,-54.78969,sign
2,101061653,2,32,206.57422,-21.373255,146.68903,-0.4770324,0.7127949,-0.51416296,79.19729,130.91579,13.192821,-0.5954126,0.17332162,-0.784502,-72.094376,-40.10605,255.06381,-39.56992,-19.55471,13.553136,-0.72020906,-0.3320133,-0.6091519,6.6435766,-198.42227,276.7428,-66.80659,28.812927,-42.13624,-0.7514222,0.1949121,-0.630376,-274.4909,-373.58963,288.13318,-22.500114,-39.916626,15.918454,0.16639315,-0.646195,0.7448123,69.32755,-145.78433,266.53036,-11.509308,-41.862564,10.8260355,0.060214754,-0.5933383,0.80269784,82.619446,-104.89364,261.40933,-3.1004944,-35.88775,3.5558882,-0.15326731,-0.40297863,0.9022845,70.82343,-67.49779,268.1982,-358.01254,118.00668,78.50807,0.9803696,0.124222666,-0.15311462,-117.71418,175.18933,19.259226,0.42023948,0.5956666,-0.68452907,-41.939533,13.638509,-258.41217,42.27249,1.5342255,16.296766,0.8271684,0.14294647,-0.5434692,20.825274,-59.53006,-399.73242,65.26557,48.459732,-28.08773,0.88137037,0.2723488,-0.38602123,5.082752,-160.32109,-518.1972,43.566734,-16.116776,23.93226,0.18325475,-0.64771336,0.7395168,11.518842,-61.796505,-386.22012,38.07612,-24.787277,16.57728,0.21305168,-0.5262126,0.82323104,-33.793365,-56.862366,-362.16504,28.268974,-27.266083,6.22295,0.21928819,-0.31544414,0.92325926,-75.825836,-46.816547,-330.81412,sign
3,150930345,3,32,194.68994,-8.365349,177.6894,-0.4363507,0.69468766,-0.5718454,70.36161,138.20624,38.777504,-0.74888885,0.163751,-0.6421457,-155.25726,161.99606,469.8345,-35.70721,-17.279,16.580013,-0.8342582,-0.19146678,-0.5170626,-103.80217,220.54634,524.6242,-77.83948,16.526321,-25.623955,-0.88728374,0.026164709,-0.4604812,-355.20914,-68.02863,778.4388,-13.362175,-45.886093,10.755672,0.3841072,-0.7250047,0.5716904,8.593213,38.663357,333.05338,-2.670021,-44.701942,4.1677666,0.2943428,-0.69240856,0.6587357,11.739509,105.07704,313.73453,2.939499,-36.2638,-3.4586868,0.053873956,-0.5771192,0.814881,-45.126194,155.3698,309.87268,-358.62662,117.92156,80.401855,0.9797764,0.07063244,-0.18721467,-116.39784,151.56421,5.760124,0.4194255,0.37308797,-0.8275794,14.249616,-406.82416,-258.48563,39.04711,-17.57637,3.4301271,0.5621746,-0.27534956,-0.7798348,-79.09456,-798.1794,-483.52438,68.95786,18.419678,-48.023655,0.78341585,-0.09843677,-0.6136528,87.77785,-984.65356,-588.984,39.103195,-31.762337,14.397312,0.11848478,-0.6615976,0.74043906,-99.35732,-711.40533,-408.9357,27.140549,-37.682182,11.621225,0.1556946,-0.541193,0.8263591,-229.66383,-648.47144,-308.77847,16.24189,-36.168343,2.7906094,0.3068977,-0.36225817,0.8801039,-231.97324,-572.89325,-298.7298,sign
4,200969640,4,32,195.81084,8.698177,187.0962,-0.4659681,0.6975058,-0.544389,64.19998,166.97588,62.627045,-0.78535587,0.4519354,-0.42304906,-103.884636,505.44424,442.72354,-36.28266,-11.906403,19.631004,-0.92250365,0.1629716,-0.34989613,-93.56186,598.4444,490.88525,-77.04875,30.740036,-5.9615326,-0.9361661,0.21538055,-0.2778565,-89.48803,769.2035,787.15814,-20.002369,-44.77304,-0.5990715,0.31892475,-0.9108187,0.26209986,-229.95738,534.9892,255.31262,-10.031719,-43.059563,-8.278465,0.25697988,-0.8912564,0.37366217,-233.19916,542.26465,239.5816,-4.6515656,-33.420654,-14.529037,0.041763004,-0.80822796,0.58738697,-241.74217,563.0194,256.15933,-362.4541,95.49563,64.30224,0.98395836,0.121310025,-0.1308046,-110.47096,129.01042,5.937138,0.6281394,0.15671834,-0.762155,94.07007,-426.09888,-8.557074,29.71473,-29.24556,8.203442,0.5304651,-0.4926336,-0.68986875,-43.919052,-620.6899,100.77385,77.058136,-8.579323,-37.213963,0.7828179,-0.39291912,-0.4825046,277.76797,-891.2133,235.62184,22.14338,-41.215645,22.207508,-0.2546026,-0.57799983,0.77530235,-199.86029,-561.5203,168.79295,9.775551,-42.998573,17.75671,-0.17568564,-0.47877982,0.860177,-196.54292,-503.00742,118.22635,2.399643,-39.038933,6.653277,0.03145744,-0.3665139,0.9298806,-132.68697,-474.96472,79.8983,sign
5,251073726,5,32,204.79744,24.554947,180.77934,-0.52197343,0.68618315,-0.5066522,65.32083,188.12624,65.93348,-0.70178527,0.58885247,-0.40093675,22.314327,382.18237,53.734966,-34.39789,0.3477173,24.213326,-0.9013047,0.3044634,-0.30814263,50.89905,557.38007,96.71254,-65.5352,51.275085,-2.024086,-0.8613784,0.46958148,-0.19370209,216.02356,741.68933,111.58393,-30.50269,-36.729263,10.8936,0.12749247,-0.90930885,0.39610994,-126.149956,511.41614,207.11188,-22.192833,-39.080185,1.7660828,0.08191926,-0.8574891,0.5079387,-158.92896,452.97757,186.06622,-16.01818,-32.40497,-7.10627,-0.07494211,-0.6856325,0.7240799,-151.92195,409.73117,148.88036,-368.83606,90.92545,62.790096,0.98958325,0.09472899,-0.108404115,-107.548615,119.30275,23.079832,0.85800076,0.1438508,-0.4930939,44.4964,-132.60759,319.512,27.430779,-23.59114,22.817549,0.80446213,-0.48213083,-0.34697342,-0.11259856,-72.26612,534.2549,85.18818,-4.965828,-2.2955742,0.91981983,-0.3897054,-0.0454008,157.282,-127.42441,896.79645,14.33136,-34.58509,35.507607,-0.49829435,-0.49804556,0.7096854,-116.599014,-70.442116,504.70117,5.152672,-38.59951,27.168692,-0.4587308,-0.38335204,0.8016279,-67.52127,-93.16577,439.62268,2.4940948,-37.12036,13.673399,-0.30365717,-0.23472749,0.923415,12.846496,-115.75627,410.26035,sign
6,301152175,6,32,176.78885,17.190336,171.8317,-0.34122568,0.7680226,-0.54194677,78.32173,197.65338,41.839703,-0.5862863,0.56354517,-0.58196664,223.87589,126.361305,-442.656,-39.117195,2.1530914,18.30265,-0.8513334,0.22065787,-0.47596383,115.75192,113.23452,-558.0164,-57.476936,57.428192,-19.269842,-0.7273203,0.56468606,-0.39004463,351.07538,222.90074,-757.7502,-34.887302,-32.155823,12.045052,-0.0059509054,-0.8374966,0.54641014,151.67204,183.58398,-449.35956,-25.779274,-36.557632,4.6423683,-0.061711498,-0.764698,0.641427,171.37509,152.91069,-415.8212,-17.59542,-31.93663,-3.8216171,-0.20466954,-0.54426926,0.8135609,214.77043,121.60886,-398.8623,-365.76877,123.9875,64.30377,0.9984913,-0.011390925,-0.05371627,-104.57187,141.34143,43.96662,0.8450886,0.41148207,-0.34133238,31.255129,384.74524,361.22113,31.524971,-14.491829,29.130806,0.97906035,-0.15085222,-0.13669105,119.39045,606.95654,533.7695,81.63315,17.553864,14.338093,0.97734,-0.14884618,0.15050381,-23.683544,806.86255,660.5972,17.376724,-30.673462,37.47088,-0.44638628,-0.6528293,0.6120075,91.46917,485.50302,433.1343,11.831261,-36.700577,27.71209,-0.4477507,-0.5390606,0.7133954,157.84077,441.5145,408.08334,10.921112,-35.390923,14.028389,-0.36967555,-0.35553873,0.85844755,188.62897,431.16397,402.22983,sign
7,352162414,7,32,176.49348,10.664268,166.05717,-0.3137286,0.74711436,-0.5859987,84.59693,177.84903,18.654446,-0.54065764,0.36410907,-0.75836265,126.181946,-382.85727,-507.5812,-42.46591,-9.303467,9.161703,-0.74223465,-0.07127444,-0.666339,72.57717,-613.299,-679.0313,-62.04593,41.171448,-38.04155,-0.7084177,0.36443296,-0.6044278,50.533775,-683.30096,-885.7099,-28.528183,-38.929733,7.989727,0.05571904,-0.7749746,0.6295314,250.98465,-505.5625,-566.8368,-17.327782,-41.422745,3.191473,-0.042187657,-0.71488404,0.6979692,287.32474,-472.19327,-518.6794,-8.546883,-35.443787,-3.6991816,-0.265464,-0.5234695,0.8096348,301.35336,-448.76416,-489.20743,-362.05914,129.37476,62.361767,0.9997105,-0.005809343,-0.023349445,-108.84836,158.86142,47.049973,0.6831703,0.62673306,-0.374812,-86.78325,414.97308,111.28072,31.760529,2.3273163,34.9881,0.97839904,0.2025401,-0.041386273,-123.28409,783.3851,294.5939,70.30298,45.08542,13.962959,0.96001756,0.20221741,0.19358295,-309.1609,976.0791,163.93813,23.74421,-18.657394,41.479042,-0.2518584,-0.68894583,0.67964774,15.774045,660.17834,208.36057,21.388763,-27.168991,32.539017,-0.29018876,-0.5700907,0.76862675,90.27834,606.4821,221.32619,20.910141,-27.851913,18.820557,-0.28829345,-0.35509714,0.88926536,106.52938,567.17474,219.6835,sign
8,402190988,8,32,193.61723,28.598886,182.35501,-0.40299794,0.5967376,-0.69389975,77.96321,151.15814,15.36417,-0.6957164,0.051848244,-0.71644294,-144.06244,-489.50467,-57.819145,-36.14027,-20.783188,16.291414,-0.73754776,-0.4060588,-0.5395735,-41.161552,-650.80457,68.242035,-75.32877,11.627258,-33.984207,-0.84338236,-0.034086995,-0.5362315,-365.8846,-986.54034,26.913418,-15.581554,-44.74414,15.2120495,0.3147788,-0.6522864,0.6895192,37.47518,-578.5686,51.718437,-3.9136276,-44.263268,9.700457,0.22296081,-0.60043275,0.7679642,53.868305,-534.44244,43.857174,2.5847015,-36.779755,1.5196686,-0.028287875,-0.45728767,0.8888688,18.36021,-516.47345,17.00922,-365.52344,119.551575,61.412006,0.9918422,0.124189295,-0.02874065,-120.48728,178.54967,34.475887,0.5175545,0.61793345,-0.59185773,-228.6337,344.97107,-219.95186,38.136375,8.667755,29.210022,0.9392702,0.23029353,-0.25443342,-87.29449,428.66827,-354.7969,66.1543,52.279694,-6.753414,0.9507865,0.308006,-0.03372521,-289.14084,483.83472,-602.31964,33.169403,-10.04924,37.533848,-0.038268898,-0.5973022,0.80110276,-47.566593,505.95462,-291.94455,30.3984,-19.875961,30.546993,-0.060688075,-0.46639237,0.8824937,-49.47623,479.71933,-254.51405,27.24408,-22.73175,17.520748,-0.064682044,-0.23713931,0.96931994,-105.94585,434.28644,-240.71243,sign
9,452258250,9,32,207.2958,22.413824,182.75014,-0.52566147,0.5885763,-0.6142132,61.678806,148.93729,41.503246,-0.84058416,0.21522912,-0.49708623,-289.33545,-43.12605,423.92102,-32.666218,-21.041573,18.154297,-0.87456924,-0.19403893,-0.44438443,-240.72581,-13.429265,473.52203,-80.924446,13.972137,-11.578411,-0.9491266,-0.027066356,-0.31372938,-397.5666,-33.09552,811.5063,-14.917805,-47.43428,6.902584,0.4142153,-0.8109953,0.41317347,-280.5564,-84.952644,296.06778,-4.012245,-45.439903,-0.5759659,0.36099857,-0.7698934,0.52625483,-296.7578,-60.443993,258.18942,0.4660759,-36.22123,-8.383541,0.13693321,-0.67151487,0.72822875,-330.27335,-30.639528,263.5468,-366.76514,134.6513,75.74699,0.99102235,0.061064336,-0.118936576,-127.64254,175.48409,19.050127,0.30498514,0.5592603,-0.7708515,-128.24721,-61.101833,-253.32146,44.818405,-11.41214,2.6541786,0.6238279,-0.09653128,-0.77557755,-88.148735,-462.46362,-759.58203,65.845985,34.953735,-40.15519,0.8422382,0.07877787,-0.53331876,-162.19093,-369.3243,-880.3261,42.709175,-23.838043,14.42132,0.19280155,-0.6906221,0.6970428,5.6981874,-287.7192,-645.6101,33.924675,-31.492859,10.1122055,0.24924041,-0.5721269,0.781377,-94.58788,-250.01666,-587.37476,24.220306,-31.253082,0.45239067,0.3617836,-0.3665025,0.85719806,-206.21292,-201.51152,-523.0321,sign
